,SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
Cav2,0.001974946856089687,0.0067106540563865915,0.003683802927376833,0.021405668298034055,0.03422250797728221
Cbfa2t2,0.03804042934073226,0.03827989869807282,0.031670513344582686,0.033722018468378925,0.01750715619440009
Cbln1,0.03179324501829578,0.00854744123582262,0.040063237197240475,0.01053180861620517,-0.0012674718975117258
Cbr1,0.026604784800295867,0.03933006890216013,0.04099448502904824,0.031916631906433665,0.03579773227003948
Cbs,0.025469213305696833,0.027176819260596476,0.0435721170575845,0.052877377074229445,0.030131866432855398
Cbx2,0.0397714908085592,0.025818949549565585,0.0379143303059997,0.03586574863915104,0.019505878703827174
Ccdc74a,0.03238131561146314,0.022252290628289737,0.02730646582092328,0.017680002400138246,0.02919829665783926
Ccdc74b,0.027212979151116333,0.019223463373247103,0.020617900885121613,0.014378777500371151,0.028789168957001683
Ccdc88c,0.026062578892058673,0.027723306420172452,0.03035737744756661,0.03306135511140033,0.011402746186595229
Ccl2,0.006144688438718239,0.003627571792705108,0.0038135884148876825,-0.006397970033526209,0.029599123239103735
Ccna1,0.029128883308539757,0.020490231008439917,0.018174490768004672,0.006468758067975232,0.005405162790771119
Ccnd1,0.0005789792190029885,0.006110516867797969,0.015080487289618277,0.03641710664432345,0.03073818980161712
Cd151,0.03269192923735861,0.03894038036521645,0.04104662736677162,0.046308803338769244,0.05049910679057923
Cd164,0.04127808082846725,0.046872656980080626,0.035638970553656404,0.05020572115285033,0.048504386284465364
Cd200,0.039115173960966546,0.013057003129484613,0.02559185544965415,0.008656115730326739,-0.0051310992512638215
Cd40,0.001648678467780216,0.013403318303678465,0.0014874654771109162,0.005754106539189075,0.02892858223182162
Cd44,0.00966567355806399,0.00858482180751094,0.010841952805371058,0.02376959340830874,0.043823144677010636
Cd58,0.01446863366994039,0.019987501081776004,0.022311235307457183,0.0203148745459967,0.03361455801606689
Cd68,-0.0015301368663840106,0.005787372777965764,0.0034452957724106143,0.009681669084180989,0.026882646161383507
Cd70,-0.0008404800501189491,0.0038973103253455033,0.0008493813028340382,0.015850289142475486,0.02723387336573292
Cd82,0.01288861571587059,0.027476706334469882,0.011868128638161144,0.00480294633204054,0.027578071886816408
Cd9,0.02722815470080878,0.034660514705554195,0.02079020789359228,0.053033968166555534,0.053893361387667524
Cd99,0.012130374925677574,0.017110808743996144,0.032792738633490005,0.020444026987992497,0.05683905465236746
Cdc42ep1,0.0015104273883390213,0.0017319999446732445,0.010534778437650907,0.019704866387742666,0.02905945077116161
Cdh1,0.03066301445122136,0.04104361177798352,0.0026778961691754084,0.042127850587100585,0.004720814247043202
Cdh2,0.043363712608752845,0.03517261232790557,0.03985691203083243,0.03002455818348221,0.022122187862516778
Cdk5r1,0.03547660949406447,0.023972756447769316,0.03335767171186112,0.02299682719236246,0.007270218566098588
Cdk5r2,0.02425334294941417,0.025274142417821777,0.02851534033631197,0.010668175827352777,0.0031590443227217076
Cdkal1,0.03727316964495218,0.028670264370882072,0.04261195314089059,0.03907162525827404,0.020811613252224723
Cdkn1a,0.03373841147119738,0.03850688302602946,0.03391394237845141,0.014072215179013277,0.03203710629978848
Cdkn2c,0.0497423167666777,0.04190569517644069,0.04517895739536903,0.03086571907312463,0.035119792388089224
Cdkn2d,0.037212347027789285,0.035826577781814965,0.029296527721405535,0.027726786462888973,0.02290930304029532
Ceacam5,0.014749465366364182,0.050784302858422926,-0.002699052894200124,0.005543280418444497,0.0017359520436564366
Ceacam6,0.012022128159708103,0.02785642477155769,-0.004498408683310897,0.003027189236494595,0.010069786605158329
Celf3,0.03161738287713555,0.02363379172183648,0.03697272902755489,0.01131556654358358,-0.0022475757794134374
Celf4,0.03769625061885595,0.02905330932604214,0.03310829458285166,0.01408623704545146,-0.0004153440279529972
Cenpv,0.047795683072365404,0.03643235759314733,0.05016872341882787,0.05238362645110422,0.027511868296245242
Cep41,0.038078004370523,0.030200757022112654,0.032665273973150326,0.021545466290685912,0.021742191852154345
Cercam,0.011676817076612087,0.011533674531360368,0.021416514781891285,0.02023999895158323,0.03377987884243276
Cerkl,0.013746756577491573,0.001344261422446125,0.03650415180290295,0.0015161983705297129,0.006314549720051373
Cers1,0.01863956287974394,0.006017390027624802,0.030615370207058484,0.016942416428467107,0.0185731335369499
Cers4,0.02795719732247445,0.03853385344040778,0.02303711499915772,0.019993135997456113,0.01763257826632576
Cfl2,0.03092783529077904,0.027759615968507085,0.04750617491943032,0.03323060301252875,0.0425023534174064
Cgref1,0.009689143781139161,0.010855146547048255,0.03285278470396011,0.024841220801388113,0.016384213289885947
Chd7,0.03559974845695518,0.032007398658335524,0.03841264550941139,0.03506500650871151,0.01798006854920897
Chga,0.045367872443986164,0.04934260564682798,0.04701841505530156,0.02112545219037823,0.0030138605051888627
Chgb,0.03756718683019613,0.043575183378549556,0.048356582994616586,0.01612662655103875,0.018231316009166148
Chmp4c,0.026697464057784143,0.03537643225349507,0.0023024932154312766,0.03437079614072558,0.013308391093567034
Chn2,0.02794635297155544,0.03298656629008424,0.02407076461403219,0.038935274332302636,0.0005675733540134506
Chrdl1,0.011872953261912879,0.005110694922858583,0.017297396657966837,0.03255363256839756,0.0022607129531463104
Chrnb1,0.019821194387678244,0.019256010888504115,0.017427691666906775,0.01843677204170583,0.03131756403768539
Chrnb2,0.02647043765581025,0.02498785200386615,0.027526114833299028,0.01462325544944483,0.0018521964681170843
Chst3,0.007649670177636581,-0.000570134070909419,0.014215836205143955,0.017568992622032382,0.02592860815701929
Cib1,0.02050703572055259,0.02645953086436605,0.022686967352310707,0.035964245332311864,0.04250909523843427
Cited1,0.019916618581269953,0.008213938403749295,0.030229915985033134,0.010426772251460327,0.0026921363686652267
Ckb,0.060569998519077274,0.049229228513709825,0.06897172218820816,0.06288344093704892,0.042828047631423914
Ckmt1a,0.025596973563940566,0.030557392417690142,0.03579910925927428,0.03119584775117789,0.011004159381877699
Ckmt1b,0.027377887446260248,0.030930443728295336,0.0388695630535305,0.03204295852833107,0.011576133803204826
Cldn3,0.029277804636077064,0.038415692977071335,0.011412338487196895,0.022221303308215402,0.005928475274064802
Cldn4,0.03319074328392998,0.05002272066274956,0.016303494717814518,0.027072819319959123,0.01091348794069484
Cldn7,0.03461150947854243,0.04325981827271235,0.010162497591109076,0.04626837418665537,0.006148465286831942
Clic1,0.039333173548558906,0.04917426611556213,0.043203298073752866,0.059418532005877184,0.05596947098532713
Clip3,0.03623586784053109,0.017689279041655282,0.030130030402234678,0.009429139893974451,0.020395453795698737
Clstn2,0.029390628553726914,0.010150216179807839,0.02981498860885587,0.013914137655001694,0.005668938503361731
Clu,0.01886743261643611,0.030124981841660847,0.031684347465484736,0.013226556796457603,0.0570222136160481
Cmbl,0.03678633213451606,0.03324535476614615,0.03663231430481637,0.011034475674429327,0.021995045693377898
Cmip,0.03997899223449454,0.03560294103490789,0.03684426839344003,0.04189380223035775,0.01712770353537673
Cmtm3,0.02068223171489465,0.012535034527300419,0.02299743339821565,0.02029023455974353,0.034166386662241754
Cmtm6,0.02690290838085639,0.031591507845845274,0.022557736889729382,0.04231697936653367,0.036927511058407636
Cnih2,0.038128291406603274,0.023679788037901498,0.034249446484166134,0.023210985527616985,0.011754061729467781
Cnksr3,0.026629878713894366,0.046689144689439334,0.005467574789017604,0.033508976737663274,0.019709740084273224
Cnn2,0.007695295960954933,0.015281882447246481,0.015437289437448726,0.02798514013537674,0.053216384236381836
Cnrip1,0.022644125223682306,0.02035829284622802,0.037340079859277085,0.007573455677562233,0.01721952325102616
Cntfr,0.022179296306241818,0.0062936362679723665,0.03399816029312501,-0.002953618044091022,0.010132832210142516
Cntn1,0.013790424948474225,0.015313298086715778,0.03743465614217828,0.020946688146557223,0.006240798914033799
Cntnap2,0.02972506325354199,0.03666603490764355,0.026590142684616395,0.008918612599746537,0.0003108765262453703
Cobl,0.023921269116552568,0.02799631619272453,0.025276724472154788,0.025553375020190137,0.0005519757417173089
Coch,0.03768174249276407,0.033480781895923316,0.04392392553810335,0.03435671735280729,0.020816979023834357
Col12a1,0.0014935490796064528,0.0045280958261651365,0.0011533430274257598,0.006126658263721933,0.02688314238986123
Col18a1,0.010339511563975,0.0035311261768149623,0.011854653768776317,0.0039282208506881,0.025929750649084198
Col1a1,0.01136504709920158,0.006124635193754221,0.010625496718993228,0.010147637531616526,0.032597639395092116
Col22a1,0.012101934543522545,0.0270636730958626,0.004463089918236872,0.0021798333387394258,0.0006290130260370495
Col5a2,0.0055588665720123845,0.003174618606138144,0.010840421971631663,0.008776121664139722,0.030453586767990176
Col6a1,0.012146331942935627,0.008569518735297477,0.0176302538167686,0.000839892078654242,0.03538225319123249
Col6a2,0.013705205094313971,0.0030453409505631183,0.013191708947169518,-0.004211331717467772,0.04138993260521039
Col9a2,0.03435712933661129,0.013018787639996317,0.021894646122177893,0.021240874568598574,0.0077384264942281025
Cotl1,0.05111881609619566,0.049283413678666024,0.04116181405142421,0.04333992502186846,0.039776590261723026
Cpe,0.047940603799452065,0.05053967582781826,0.0555945339183377,0.03363124930545505,0.02874720509981991
Cplx1,0.022243961875699582,0.025182543320775422,0.029934277184966503,0.016494535670638064,0.004429934400572946
Cplx2,0.03426062854421978,0.03345426392387314,0.0456893389780866,0.012480033172973791,0.0028580307066980184
Cpne7,0.00696705410911892,0.012070575799267146,0.029473871888599217,0.021146526775391115,0.022955453199412994
Cpt1a,0.0203709605774533,0.028963276353373132,0.019397912554826376,0.03914615059985522,0.03852071382261013
Cpt1c,0.035768287718652834,0.025911128435761165,0.0366383504713338,0.021178773196336844,0.02677390673334226
Cpvl,0.02317910562526624,0.011043200009538531,0.02646151666145946,0.03665950453677613,0.0066292030145558055
Crabp1,0.0336052182807778,0.015198966948445067,0.04137426208348551,0.021457218743392233,0.0046793673394037805
Crabp2,0.03526951642401916,0.01793229533862199,0.03646081271590893,0.021662386682477622,0.02597252201528177
Crb3,0.016113180546127065,0.02510783440259201,-0.0009008191873716379,0.027883769132926558,0.006385164273958307
Crim1,0.0010121886737598617,0.0111865960661786,0.010891925713996846,0.026095475716339286,0.04200597049580188
Crip2,0.04608474953938718,0.03799199545369662,0.03823800820479852,0.015494467045923542,0.03835994420469141
Crlf1,0.017639135346312004,0.011357920018111057,0.02556417986832167,0.01523124968660919,0.028118720859115674
Crmp1,0.05182258684669902,0.040099184927559775,0.04901894765479484,0.03735911993379217,0.023948361724659282
