,cluster,cline,drug,Emax_normalized,AAr,IC50,logEC50,Emax
4156,[3],NCIH1436,BGT-226,-10.60436101,1.708915709,2.41E-07,-6.514278574,-10.3871732
4157,[3],NCIH146,BGT-226,-8.311294699,3.44141709,4.80E-09,-8.148130399,-10.99269904
4158,[3],NCIH1618,BGT-226,1.078476007,2.674061147,1.99E-08,-7.70333481,0.922708962
4159,[2],NCIH1694,BGT-226,-3.462262107,2.311984175,5.47E-08,-7.229884705,-3.522605153
4160,[3],NCIH1836,BGT-226,-0.051843745,2.433124531,3.71E-08,-7.42945706,-0.05053661
4161,[3],NCIH1876,BGT-226,1.137541171,2.682543115,1.96E-08,-7.714442691,1.054137654
4162,[3],NCIH1930,BGT-226,0.661043751,2.326446108,4.59E-08,-7.341988603,0.60798896
4163,[4],NCIH196,BGT-226,-41.19424807,1.722842395,3.30E-07,-5.899629455,-37.80351522
4164,[3],NCIH1963,BGT-226,-0.382099341,2.229054536,5.99E-08,-7.220403509,-0.353960399
4165,[1],NCIH2029,BGT-226,-0.174596257,0.870470296,1.35E-06,-5.869666232,-0.159714101
4166,[4],NCIH2066,BGT-226,-0.310421133,1.253020858,5.63E-07,-6.249491605,-0.25857796
4167,[3],NCIH2081,BGT-226,-18.23797569,3.014232249,1.59E-08,-7.40560745,-21.37906527
4168,[3],NCIH209,BGT-226,-0.209725847,2.88358941,1.32E-08,-7.876148359,-0.201120138
4169,[4],NCIH211,BGT-226,-8.653772262,3.97568619,1.24E-09,-8.68613278,-13.9918281
4170,,NCIH2141,BGT-226,-2.444048602,1.871564034,1.44E-07,-6.826813732,-2.311349989
4171,[2],NCIH2171,BGT-226,-0.823560083,2.31820765,4.97E-08,-7.299296283,-0.754837449
4172,[2],NCIH446,BGT-226,-0.582101571,2.753736909,1.81E-08,-7.73754891,-0.568621155
4173,[1],NCIH510,BGT-226,-3.342451415,1.958182701,1.21E-07,-6.89279003,-2.990857113
4174,[2],NCIH524,BGT-226,-1.875947432,2.396450385,4.31E-08,-7.351639989,-1.733868839
4175,[2],NCIH526,BGT-226,-5.304137817,2.541440649,3.44E-08,-7.397940009,-5.446560744
4176,[3],NCIH69,BGT-226,-0.681435398,3.271888109,5.54E-09,-8.249491605,-0.671827475
4177,,NCIH69/CPR,BGT-226,-0.172163996,2.673763536,2.14E-08,-7.669586227,-0.157991274
4178,,NCIH69/LX10,BGT-226,0.05905953,1.391038951,4.06E-07,-6.391473966,0.063626283
4179,,NCIH69VCR/R,BGT-226,-0.404051812,1.042335454,9.14E-07,-6.038104526,-0.40148423
4180,[2],NCIH82,BGT-226,-1.778702487,2.561837379,2.94E-08,-7.514278574,-1.982949542
4181,[4],NCIH841,BGT-226,-4.71385202,3.259321314,6.64E-09,-8.084072788,-6.306362129
4182,[3],NCIH889,BGT-226,-8.107815831,2.182226121,8.18E-08,-6.991399828,-7.796448703
4183,[1],SHP77,BGT-226,-3.243828899,1.865640275,1.49E-07,-6.801342913,-3.276646032
4184,[4],SW1271,BGT-226,0.466926416,2.943747891,1.11E-08,-7.958607315,0.435135909
4185,[1],COLO668,BI-2536,14.27567085,2.542801305,1.42E-08,-7.966576245,15.50920667
4186,[1],CORL88,BI-2536,2.71108593,4.336786977,3.15E-10,-9.565431096,6.622231692
4187,[3],CORL47,BI-2536,1.953272965,4.059833883,5.00E-10,-9.374687549,3.785484581
4188,[4],DMS114,BI-2536,4.27103882,3.041878217,6.84E-09,-8.177831921,3.946034914
4189,[2],DMS273,BI-2536,5.767332514,2.882376106,9.13E-09,-8.058985756,5.64121334
4190,[1],DMS53,BI-2536,28.78184878,1.760832305,3.01E-07,-7.391473966,34.41799419
4191,[3],DMS79,BI-2536,3.827187759,0.298721669,5.19E-06,-5.295849483,2.854273584
4192,[4],NCIH1048,BI-2536,3.807490652,3.202895733,4.72E-09,-8.329754147,3.624082864
4193,[3],NCIH1092,BI-2536,78.33881998,1.223901123,,-6.349692477,69.16946379
4194,[3],NCIH1105,BI-2536,2.126827266,3.925386812,9.84E-10,-9.010550182,14.15094923
4195,[4],NCIH1341,BI-2536,31.30144214,2.26684793,5.58E-09,-8.299296283,29.0580313
4196,[3],NCIH1436,BI-2536,32.98660964,2.244894224,5.07E-09,-8.349692477,29.81845038
4197,[3],NCIH146,BI-2536,8.054156146,3.099762073,4.85E-09,-8.37161107,8.62611147
4198,[3],NCIH1618,BI-2536,12.33172603,2.985087974,4.08E-09,-8.404503778,9.782338525
4199,[2],NCIH1694,BI-2536,0.613783357,4.02978764,8.91E-10,-9.057000407,1.437295902
4200,[3],NCIH1836,BI-2536,15.17658891,3.149796486,2.01E-09,-8.714442691,9.38463579
4201,[3],NCIH1930,BI-2536,8.717383556,2.709971836,1.13E-08,-7.970616222,7.87685173
4202,[4],NCIH196,BI-2536,11.47313738,2.601626841,2.35E-08,-7.896196279,16.24228512
4203,[3],NCIH1963,BI-2536,-29.57214693,4.838813983,1.47E-13,-9.485452247,-6.547342931
4204,[1],NCIH2029,BI-2536,45.03316105,1.635787218,1.96E-08,-7.974694135,45.8675791
4205,[4],NCIH2066,BI-2536,-14.60333391,4.24734026,3.32E-10,-8.841637508,-31.25195886
4206,[3],NCIH2081,BI-2536,43.37256643,1.85325588,6.84E-09,-8.272458743,25.15398005
4207,[3],NCIH209,BI-2536,13.27914966,2.948952821,4.14E-09,-8.400116928,10.01986233
4208,[4],NCIH211,BI-2536,0.760153941,3.726511341,1.77E-09,-8.754487332,1.072271313
4209,,NCIH2141,BI-2536,30.36440603,2.400064926,4.15E-09,-8.446116973,28.46980298
4210,[2],NCIH2171,BI-2536,2.753520113,4.042734472,7.45E-10,-9.166852888,6.610768344
4211,[2],NCIH446,BI-2536,1.271754434,4.081128014,7.44E-10,-9.133712661,5.635527376
4212,[1],NCIH510,BI-2536,11.04838348,2.931490322,5.18E-09,-8.295849483,11.00757224
4213,[2],NCIH524,BI-2536,2.133792149,3.226731413,5.09E-09,-8.296708622,2.07807155
4214,[2],NCIH526,BI-2536,14.37452106,2.922253665,4.04E-09,-8.412289035,14.22859543
4215,[3],NCIH69,BI-2536,16.40812474,2.661024423,7.25E-09,-8.183096161,16.10562481
4216,,NCIH69/CPR,BI-2536,8.720535432,2.734732676,1.07E-08,-7.995678626,8.551716266
4217,,NCIH69/LX10,BI-2536,15.65640506,0.469358545,2.87E-06,-5.555955204,15.28185386
4218,,NCIH69VCR/R,BI-2536,10.91636413,0.442437973,3.27E-06,-5.496209317,10.2984348
4219,[2],NCIH82,BI-2536,0.118901276,3.371635869,4.21E-09,-8.375717904,0.094808208
4220,[4],NCIH841,BI-2536,17.58437062,2.563036013,9.16E-09,-8.110138279,16.55088306
4221,[3],NCIH889,BI-2536,16.32565583,2.534596884,1.06E-08,-8.029188389,15.577938
4222,[1],SHP77,BI-2536,2.172835141,2.112066393,7.00E-08,-7.159266765,2.121050126
4223,[4],SW1271,BI-2536,0.306655431,4.183591469,5.39E-10,-9.27572413,0.711154161
4224,[1],COLO668,BI-6727,17.53846601,2.141964961,3.14E-08,-7.596879479,16.84100802
4225,[1],CORL88,BI-6727,11.22849931,2.370495188,2.63E-08,-7.669586227,12.1573081
4226,[3],CORL47,BI-6727,34.21378112,1.904954588,2.23E-08,-7.896196279,34.50642682
4227,[4],DMS114,BI-6727,4.674800257,2.590448576,1.98E-08,-7.716698771,4.246501702
4228,[2],DMS273,BI-6727,5.036443791,2.51359842,2.36E-08,-7.647817482,5.129061278
4229,[1],DMS53,BI-6727,-53.74084386,2.275635128,1.77E-07,-5.248720896,-71.48942173
4230,[3],DMS79,BI-6727,-82.608103,5.788333788,7.95E-20,-5.931814138,-460.9081764
4231,[4],NCIH1048,BI-6727,6.620857936,2.665594196,1.42E-08,-7.853871964,6.090418004
4232,[3],NCIH1092,BI-6727,76.61317687,0.768088341,,-8.283996656,80.23354947
4233,[3],NCIH1105,BI-6727,16.60880587,2.441294746,1.34E-08,-7.928117993,15.67108413
4234,[4],NCIH1341,BI-6727,36.26374785,1.790301631,1.78E-08,-7.809668302,34.38648515
4235,[3],NCIH1436,BI-6727,39.33535638,1.710901405,1.75E-08,-7.821023053,38.04767315
4236,[3],NCIH146,BI-6727,6.422563737,2.49593575,2.35E-08,-7.66756154,6.977025977
4237,[3],NCIH1618,BI-6727,5.503301313,2.976676053,7.58E-09,-8.149966742,7.503062476
4238,[2],NCIH1694,BI-6727,1.806821006,2.759866713,1.60E-08,-7.809668302,1.93366522
4239,[3],NCIH1836,BI-6727,7.929525022,3.139102434,4.09E-09,-8.408935393,8.13493143
4240,[3],NCIH1876,BI-6727,9.854367169,3.016909886,4.71E-09,-8.346787486,9.113110754
4241,[3],NCIH1930,BI-6727,6.102111368,2.297303939,3.79E-08,-7.446116973,5.915646143
4242,[4],NCIH196,BI-6727,27.73174938,1.410495571,3.16E-07,-6.935542011,29.50254851
4243,[3],NCIH1963,BI-6727,2.806851806,3.425846363,3.05E-09,-8.524328812,1.881188425
4244,[1],NCIH2029,BI-6727,39.73857346,1.531038137,4.89E-08,-7.540607512,38.99405872
4245,[4],NCIH2066,BI-6727,-37.38132144,2.040340578,1.86E-07,-6.001740662,-43.50691952
4246,[3],NCIH2081,BI-6727,55.85303048,1.228450936,,-7.782516056,52.1504332
4247,[3],NCIH209,BI-6727,11.50311515,2.548876404,1.35E-08,-7.879426069,11.09520259
4248,[4],NCIH211,BI-6727,0.550139114,2.927210348,1.14E-08,-7.943095149,0.529929424
4249,,NCIH2141,BI-6727,23.00965891,2.330833945,1.06E-08,-8.027334408,22.15050399
4250,[2],NCIH2171,BI-6727,3.810752787,2.303072219,4.51E-08,-7.388276692,4.195643231
4251,[2],NCIH446,BI-6727,6.43021755,2.859216172,9.06E-09,-8.055517328,6.412383959
4252,[1],NCIH510,BI-6727,9.474340045,2.603364339,1.35E-08,-7.876148359,9.508189456
4253,[2],NCIH524,BI-6727,1.771749511,2.83678721,1.31E-08,-7.88941029,1.785211749
4254,[2],NCIH526,BI-6727,9.446208444,2.829025487,7.79E-09,-8.124360063,10.86255994
4255,[3],NCIH69,BI-6727,12.02287106,2.375925441,2.15E-08,-7.701146924,12.0679383
4256,,NCIH69/CPR,BI-6727,5.26055816,2.211902681,4.87E-08,-7.334419009,4.748141253
4257,,NCIH69/LX10,BI-6727,2.517452207,0.683622813,2.01E-06,-5.701146924,2.413020215
4258,,NCIH69VCR/R,BI-6727,0.561905539,0.712929334,1.92E-06,-5.716698771,0.508191849
4259,[2],NCIH82,BI-6727,-0.051271755,2.996737203,1.01E-08,-7.995678626,-0.050405062
4260,[4],NCIH841,BI-6727,19.13111518,1.946733111,5.18E-08,-7.406713933,18.26250819
4261,[3],NCIH889,BI-6727,10.81768166,2.537809289,1.59E-08,-7.844663963,10.98693683
4262,[1],SHP77,BI-6727,1.870783085,2.128555952,6.84E-08,-7.169411331,1.884007473
4263,[4],SW1271,BI-6727,15.00647803,2.348408558,2.00E-08,-7.761953897,13.87852097
4264,[1],COLO668,BIA,-351.2622446,0.268390623,6.62E-06,-4.59345982,-333.5300421
4265,[1],CORL88,BIA,-309.6804748,0.037080255,1.07E-05,-4.782516056,-283.979148
4266,[3],CORL47,BIA,50.26303445,0.059451027,,-5.037630664,50.06876704
4267,[4],DMS114,BIA,-64.21574437,0.118539165,8.18E-06,-5.003488328,-73.18938811
4268,[2],DMS273,BIA,35.83663703,0.186593138,6.28E-06,-5.289882635,32.123269
4269,[1],DMS53,BIA,-226.2251455,0.170029582,8.80E-06,-4.616184634,-211.9099259
4270,[3],DMS79,BIA,41.89845923,0.064907162,1.21E-05,-5.081445469,42.05640343
4271,[4],NCIH1048,BIA,-2.671161245,0.586175914,2.66E-06,-5.567030709,-2.674564312
4272,[3],NCIH1092,BIA,0.455203237,0.474187307,3.34E-06,-5.476253533,0.488605299
4273,[3],NCIH1105,BIA,-1.261599618,0.301626191,5.06E-06,-5.293282218,-1.326602214
4274,[4],NCIH1341,BIA,-0.295816525,0.738080689,1.83E-06,-5.735182177,-0.292968921
4275,[3],NCIH1436,BIA,-123.2310672,0.067738692,8.91E-06,-4.978810701,-116.5802907
4276,[3],NCIH146,BIA,-38.91287816,0.712110498,2.877856716,2.97202276,-46.46914871
4277,[3],NCIH1618,BIA,-0.014647185,0.299995499,5.09E-06,-5.293282218,-0.015451549
4278,[2],NCIH1694,BIA,-0.077968449,0.410341635,3.89E-06,-5.410050399,-0.082756677
4279,[3],NCIH1836,BIA,-7.456112518,0.456176761,3.76E-06,-5.396855627,-7.650097556
4280,[3],NCIH1876,BIA,5.166971849,0.491961652,3.08E-06,-5.518557371,5.612155477
4281,[3],NCIH1930,BIA,34.47790098,0.274018498,4.66E-06,-5.417936637,32.92264443
4282,[4],NCIH196,BIA,9.13132564,0.083810802,1.05E-05,-5.003926346,8.727587377
4283,[3],NCIH1963,BIA,10.98724294,0.382982664,3.83E-06,-5.43062609,10.4509848
4284,[1],NCIH2029,BIA,-220.0019984,0.307232294,6.71E-06,-4.548213564,-219.3761854
4285,[4],NCIH2066,BIA,7.916241689,0.347797504,4.30E-06,-5.377785977,7.514491908
4286,[3],NCIH2081,BIA,-116.2418523,0.219237188,6.81E-06,-4.954677021,-111.438418
4287,[3],NCIH209,BIA,-114.7242015,0.096653894,8.92E-06,-4.906578315,-117.727632
4288,[4],NCIH211,BIA,5.561979985,0.429256623,3.56E-06,-5.454692884,5.47489622
4289,,NCIH2141,BIA,-6.028864266,0.202332493,6.40E-06,-5.185752404,-5.840124924
4290,[2],NCIH2171,BIA,0.505793951,0.62235244,2.38E-06,-5.625251654,0.52250561
4291,[2],NCIH446,BIA,-1.749010146,0.235847272,6.13E-06,-5.207608311,-1.820030165
4292,[1],NCIH510,BIA,-115.3364688,0.72892671,2.76E-06,-4.863279433,-113.5182586
4293,[2],NCIH524,BIA,2.277627797,0.362728465,4.38E-06,-5.364516253,2.389081003
4294,[2],NCIH526,BIA,-8.214150916,0.205913613,6.39E-06,-5.181774106,-8.059981421
4295,[3],NCIH69,BIA,-30.9641351,0.144258211,7.68E-06,-5.063486258,-31.46831882
4296,,NCIH69/CPR,BIA,-330.5739596,0.086759456,8.80E-06,-4.860120914,-327.5907002
4297,,NCIH69/LX10,BIA,-157.6362721,0.400723939,5.53E-06,-4.651695137,-153.392653
4298,,NCIH69VCR/R,BIA,-60.98310691,0.507325285,5.39E-06,-4.801342913,-62.28479639
4299,[2],NCIH82,BIA,-165.9631285,0.406621062,4.93E-06,-4.818156412,-162.033835
4300,[4],NCIH841,BIA,-0.045195137,0.667743237,2.16E-06,-5.665546249,-0.041164343
4301,[3],NCIH889,BIA,-57.06803517,0.088176738,8.50E-06,-5.022276395,-61.88778741
4302,[1],SHP77,BIA,-272.7968203,0.203880183,7.50E-06,-4.690369833,-267.0376926
4303,[4],SW1271,BIA,-3.340512595,0.579991186,2.71E-06,-5.555955204,-3.09593572
4304,[1],COLO668,BIBF-1120,50.73480745,0.283026561,,-5.534617149,48.56120737
4305,[1],CORL88,BIBF-1120,-325.6172079,0.238598213,7.23E-06,-4.57024772,-318.7947289
4306,[3],CORL47,BIBF-1120,91.41763154,0.156949969,,-6.829738285,86.85631515
4307,[4],DMS114,BIBF-1120,-158.3581089,0.674509499,3.19E-06,-4.651695137,-151.9573837
4308,[2],DMS273,BIBF-1120,35.75310959,2.078004062,9613624.489,-6.815308569,51.55773568
4309,[1],DMS53,BIBF-1120,54.99227077,0.25333757,,-5.542118103,54.85713599
4310,[3],DMS79,BIBF-1120,53.3258076,0.311781811,,-5.393618635,55.33334807
4311,[4],NCIH1048,BIBF-1120,-34.97432911,0.487418329,6.45E-06,-4.866461092,-34.77089252
4312,[3],NCIH1092,BIBF-1120,31.61818825,0.189018699,1.10E-05,-5.191789027,32.06259577
4313,[3],NCIH1105,BIBF-1120,-60.43767569,0.472758636,4.08E-06,-5.146301788,-60.38139657
4314,[4],NCIH1341,BIBF-1120,88.60148158,0.379052881,,-7.005682847,88.98471382
4315,[3],NCIH1436,BIBF-1120,55.68161653,2.844951009,,-4.779891912,88.74530881
4316,[3],NCIH146,BIBF-1120,-118.3282537,0.214942369,7.37E-06,-4.847711656,-118.2488467
4317,[3],NCIH1618,BIBF-1120,-0.06093504,0.385688154,4.13E-06,-5.384049948,-0.063264783
4318,[2],NCIH1694,BIBF-1120,0.019425674,0.360661785,4.36E-06,-5.360513511,0.018561291
4319,[3],NCIH1836,BIBF-1120,-15.11811877,0.64824152,2.53E-06,-5.524328812,-14.96517031
4320,[3],NCIH1876,BIBF-1120,-6.038861863,0.562644027,2.90E-06,-5.515700161,-5.792926782
4321,[3],NCIH1930,BIBF-1120,-18.8945669,0.186280167,6.94E-06,-5.12090412,-19.18366806
4322,[4],NCIH196,BIBF-1120,84.77671463,0.297137071,,-6.950781977,83.89926495
4323,[3],NCIH1963,BIBF-1120,-32.77106696,0.526262663,3.49E-06,-5.312471039,-34.84251578
4324,[1],NCIH2029,BIBF-1120,58.25685493,0.299243337,,-5.55129368,56.71718668
4325,[4],NCIH2066,BIBF-1120,-15.84054281,0.418534804,4.26E-06,-5.307153081,-15.65864529
4326,[3],NCIH2081,BIBF-1120,-85.30643644,0.058654539,9.02E-06,-5,-78.32527187
4327,[3],NCIH209,BIBF-1120,-15.97963357,0.383500276,6.49E-06,-5.069560405,-16.85219218
4328,[4],NCIH211,BIBF-1120,-78.71287893,0.682171671,2.86E-06,-5.076755981,-71.84722535
4329,,NCIH2141,BIBF-1120,46.09180755,0.079590089,0.00013054,-4.774690718,44.20383413
4330,[2],NCIH2171,BIBF-1120,-148.8031223,0.018209112,1.10E-05,-4.872895202,-140.8206884
4331,[2],NCIH446,BIBF-1120,-36.02704844,0.189327004,7.41E-06,-5.036212173,-36.27598684
4332,[1],NCIH510,BIBF-1120,-0.115819576,0.484973627,3.35E-06,-5.474955193,-0.112006351
4333,[2],NCIH524,BIBF-1120,-223.131232,0.196670516,7.20E-06,-4.838631998,-216.4146431
4334,[2],NCIH526,BIBF-1120,-119.5322401,0.34199237,5.43E-06,-4.946921557,-123.8494348
4335,[3],NCIH69,BIBF-1120,-219.2856259,0.308493063,7.32E-06,-4.419075024,-211.5805581
4336,,NCIH69/CPR,BIBF-1120,44.51371847,0.227453306,5.38E-06,-5.410050399,40.55556687
4337,,NCIH69/LX10,BIBF-1120,59.20989954,0.18748951,,-4.89279003,59.22001668
4338,,NCIH69VCR/R,BIBF-1120,50.28597866,0.165324801,,-4.812479279,45.63890551
4339,[2],NCIH82,BIBF-1120,-274.5585685,0.242598097,6.67E-06,-4.764471553,-264.2503986
4340,[4],NCIH841,BIBF-1120,69.38817291,0.034518257,,-5.066006836,65.87444459
4341,[3],NCIH889,BIBF-1120,43.02639531,0.402317127,3.43E-05,-5.53313238,43.22172327
4342,[1],SHP77,BIBF-1120,77.07488323,0.006559524,,-4.966576245,77.08285316
4343,[4],SW1271,BIBF-1120,-232.0219807,0.196992405,8.79E-06,-4.524328812,-218.4259398
4344,[1],COLO668,BIM-46187 ,-2.390948937,0.28547152,5.25E-06,-5.27572413,-2.380541556
4345,[1],CORL88,BIM-46187 ,92.49726317,0.380478804,,-6.920818754,89.06304303
4346,[3],CORL47,BIM-46187 ,-56.68979233,0.272114599,5.95E-06,-5.092588639,-55.73743244
4347,[4],DMS114,BIM-46187 ,-22.25949316,0.407597064,4.31E-06,-5.292429824,-22.43744419
4348,[2],DMS273,BIM-46187 ,-0.291958936,0.27272701,5.35E-06,-5.27083521,-0.304141043
4349,[1],DMS53,BIM-46187 ,49.4502656,0.138408124,2.19E-05,-5.255707017,50.44068741
4350,[3],DMS79,BIM-46187 ,8.135965365,0.22361262,6.58E-06,-5.209011525,7.512049396
4351,[4],NCIH1048,BIM-46187 ,-18.40223943,0.478670654,3.68E-06,-5.36552273,-18.0495349
4352,[3],NCIH1092,BIM-46187 ,-99.6944151,0.323892672,5.57E-06,-4.987162775,-92.91503002
4353,[3],NCIH1105,BIM-46187 ,-30.11815624,0.53893012,3.37E-06,-5.336299075,-28.91407827
4354,[4],NCIH1341,BIM-46187 ,-107.5958961,0.32416053,5.58E-06,-4.970616222,-103.3098199
4355,[3],NCIH1436,BIM-46187 ,-0.179649807,0.814148794,1.54E-06,-5.812479279,-0.168089431
4356,[3],NCIH146,BIM-46187 ,-106.2977306,0.770159293,2.52E-06,-4.924453039,-99.60060274
4357,[3],NCIH1618,BIM-46187 ,-288.851779,0.250451641,6.63E-06,-4.728158393,-287.5729523
4358,[2],NCIH1694,BIM-46187 ,0.047169307,0.784606858,1.64E-06,-5.785156152,0.044365696
4359,[3],NCIH1836,BIM-46187 ,-79.86210229,0.728962564,2.62E-06,-5.084600165,-80.48326741
4360,[3],NCIH1876,BIM-46187 ,-94.09148533,0.500029713,4.01E-06,-5.013228266,-89.76908551
4361,[3],NCIH1930,BIM-46187 ,-546.6203564,0.326056548,6.35E-06,-4.243363892,-511.36287
4362,[4],NCIH196,BIM-46187 ,-100.9986796,0.10235728,8.33E-06,-4.991399828,-99.71112692
4363,[3],NCIH1963,BIM-46187 ,0.68519982,0.503652125,3.12E-06,-5.507239611,0.677717845
4364,[1],NCIH2029,BIM-46187 ,-97.68417617,0.349767153,5.33E-06,-4.987162775,-92.3730258
4365,[4],NCIH2066,BIM-46187 ,-50.86670417,0.143416051,7.64E-06,-5.04769199,-48.00723338
4366,[3],NCIH2081,BIM-46187 ,1.048130016,0.398845419,3.97E-06,-5.403402904,1.024475459
4367,[3],NCIH209,BIM-46187 ,-257.9719914,0.341173597,6.17E-06,-4.505845406,-257.5546218
4368,[4],NCIH211,BIM-46187 ,-26.28111269,0.955711834,1.45E-06,-5.621602099,-25.43993794
4369,,NCIH2141,BIM-46187 ,-184.8178661,0.400047323,5.03E-06,-4.777283529,-174.7343403
4370,[2],NCIH2171,BIM-46187 ,0.422785451,0.863071101,1.36E-06,-5.866461092,0.396909473
4371,[2],NCIH446,BIM-46187 ,-4.665716936,0.247313735,5.77E-06,-5.231361899,-4.45799175
4372,[1],NCIH510,BIM-46187 ,-79.86210229,0.728962564,2.62E-06,-5.084600165,-80.48326741
4373,[2],NCIH524,BIM-46187 ,0.05504156,0.724045228,1.89E-06,-5.723538196,0.059285863
4374,[2],NCIH526,BIM-46187 ,-4.859528015,0.442050448,3.77E-06,-5.408935393,-4.976837167
4375,[3],NCIH69,BIM-46187 ,-2.576571973,0.332459951,4.73E-06,-5.320572103,-2.582899346
4376,,NCIH69/CPR,BIM-46187 ,-2.05324342,0.30605214,5.00E-06,-5.297569464,-2.009815578
4377,,NCIH69/LX10,BIM-46187 ,70.94588985,0.183395742,,-5.628932138,68.66753685
4378,,NCIH69VCR/R,BIM-46187 ,-72.97501856,0.134901222,8.27E-06,-4.954677021,-68.52607303
4379,[2],NCIH82,BIM-46187 ,0.499195027,0.695300618,2.00E-06,-5.698970004,0.507736297
4380,[4],NCIH841,BIM-46187 ,0.271626547,0.688460003,2.04E-06,-5.690369833,0.251999475
4381,[3],NCIH889,BIM-46187 ,-270.926968,0.288801236,6.22E-06,-4.70333481,-269.5889877
4382,[1],SHP77,BIM-46187 ,-0.249560543,0.307003569,4.95E-06,-5.305394801,-0.258633049
4383,[4],SW1271,BIM-46187 ,-16.53148163,0.523607738,3.32E-06,-5.412289035,-15.67440757
4384,[1],COLO668,BKM-120,3.266447633,0.660603306,2.22E-06,-5.669586227,3.10724591
4385,[1],CORL88,BKM-120,24.27669321,0.38098332,3.82E-06,-5.500312917,23.06879995
4386,[3],CORL47,BKM-120,25.7826372,0.457553315,3.06E-06,-5.614393726,25.63964283
4387,[4],DMS114,BKM-120,2.189917189,0.976464745,1.03E-06,-5.995678626,2.144307682
4388,[2],DMS273,BKM-120,3.576511543,0.858935412,1.34E-06,-5.88941029,3.397504708
4389,[1],DMS53,BKM-120,50.72250963,0.331111632,,-5.663540266,46.7514265
4390,[3],DMS79,BKM-120,16.58365578,0.438418354,4.55E-06,-5.46470588,16.156731
4391,[4],NCIH1048,BKM-120,-3.837380075,1.310400667,5.33E-07,-6.243363892,-3.752441956
4392,[3],NCIH1092,BKM-120,9.418496555,0.550652447,3.44E-06,-5.537602002,9.01085035
4393,[3],NCIH1105,BKM-120,9.066532707,0.884462163,1.19E-06,-5.970616222,8.633895715
4394,[4],NCIH1341,BKM-120,0.466541243,1.175436096,6.83E-07,-6.168770306,0.450535453
4395,[3],NCIH1436,BKM-120,8.288139542,0.711715642,1.76E-06,-5.774690718,7.777643816
4396,[3],NCIH146,BKM-120,2.580191593,0.77249505,1.75E-06,-5.772113295,2.565821254
4397,[3],NCIH1618,BKM-120,2.581360362,0.770987549,1.69E-06,-5.785156152,2.490944981
4398,[2],NCIH1694,BKM-120,21.25131351,0.539477146,3.25E-06,-5.653647026,20.71127623
4399,[3],NCIH1836,BKM-120,6.834640348,0.811529084,1.54E-06,-5.8569852,6.766137098
4400,[3],NCIH1876,BKM-120,3.134997543,1.263843751,5.11E-07,-6.304518324,3.030181914
4401,[3],NCIH1930,BKM-120,7.371504386,0.719630498,1.78E-06,-5.774690718,7.162068667
4402,[4],NCIH196,BKM-120,27.49781793,0.580169326,2.73E-06,-5.785156152,27.86308049
4403,[3],NCIH1963,BKM-120,4.461523891,0.770192139,1.59E-06,-5.806875402,4.239825328
4404,[1],NCIH2029,BKM-120,41.66962188,0.512064985,1.60E-06,-5.879426069,38.80983109
4405,[4],NCIH2066,BKM-120,19.60901435,0.449766699,5.31E-06,-5.462180905,18.5966139
4406,[3],NCIH2081,BKM-120,40.69275819,0.358938052,2.97E-06,-5.605548319,40.40094643
4407,[3],NCIH209,BKM-120,3.961819267,0.738119427,1.77E-06,-5.76700389,3.806250053
4408,[4],NCIH211,BKM-120,12.54746466,0.843041416,1.35E-06,-5.954677021,11.71818936
4409,,NCIH2141,BKM-120,6.124088565,0.792910629,1.49E-06,-5.844663963,5.837862773
4410,[2],NCIH2171,BKM-120,14.21140206,0.611335183,2.28E-06,-5.707743929,14.61198236
4411,[2],NCIH446,BKM-120,-1.123981206,1.110743097,7.92E-07,-6.095825632,-1.10413221
4412,[1],NCIH510,BKM-120,3.943471197,0.744004092,1.72E-06,-5.774690718,3.725696066
4413,[2],NCIH524,BKM-120,-1.186395849,1.02421448,9.66E-07,-6.009217308,-1.141846729
4414,[2],NCIH526,BKM-120,-2.601401182,0.958682308,1.14E-06,-5.931814138,-2.374657578
4415,[3],NCIH69,BKM-120,2.348339547,1.315838759,4.69E-07,-6.342944147,2.31568758
4416,,NCIH69/CPR,BKM-120,-12.51638874,1.097892167,9.33E-07,-5.946921557,-11.67980398
4417,,NCIH69/LX10,BKM-120,1.169693257,1.043955475,8.85E-07,-6.056011125,1.166088629
4418,,NCIH69VCR/R,BKM-120,3.390250419,0.716817365,1.84E-06,-5.742321425,3.613414097
4419,[2],NCIH82,BKM-120,2.385452055,1.161757262,6.61E-07,-6.189767482,2.255686786
4420,[4],NCIH841,BKM-120,3.188983192,0.85733438,1.34E-06,-5.882728704,3.048513612
4421,[3],NCIH889,BKM-120,18.47419475,0.650494634,1.78E-06,-5.798602876,17.14100856
4422,[1],SHP77,BKM-120,0.922818767,0.542417908,2.85E-06,-5.54668166,0.930699302
4423,[4],SW1271,BKM-120,-1.09066635,0.997115291,1.02E-06,-5.987162775,-1.03103745
4424,[1],COLO668,Bleomycin,18.26943503,0.613295387,2.68E-06,-5.718966633,18.61213302
4425,[1],CORL88,Bleomycin,96.55628872,0.040735733,,-6.183096161,96.6034695
4426,[3],CORL47,Bleomycin,60.31848021,0.211839076,,-5.442492798,62.49600159
4427,[4],DMS114,Bleomycin,19.78184271,1.578179601,2.34E-07,-6.943095149,17.81321471
4428,[2],DMS273,Bleomycin,55.62868064,0.223291727,,-5.07109231,55.32279108
