,cluster,cline,drug,Emax_normalized,AAr,IC50,logEC50,Emax
48,[3],NCIH1092, AS-703569 ,5.216241197,3.049433626,2.81E-05,-6.145693958,8.403645442
49,[3],NCIH1105, AS-703569 ,37.34776613,1.729117584,3.07E-08,-7.759450752,36.53698798
50,[4],NCIH1341, AS-703569 ,46.12063146,1.406215325,7.33E-08,-7.609064893,42.12115525
51,[3],NCIH1436, AS-703569 ,35.61925554,2.057493112,8.48E-09,-8.195860568,35.66326203
52,[3],NCIH146, AS-703569 ,12.07955229,3.54373596,1.65E-09,-9.070581074,22.79212251
53,[3],NCIH1618, AS-703569 ,-3.081257839,3.848184328,1.31E-09,-8.790484985,-6.647919705
54,[2],NCIH1694, AS-703569 ,-51.75425242,4.836156476,8.78E-16,-6.26520017,-157.1783875
55,[3],NCIH1836, AS-703569 ,-48.16817429,0.896057279,2.60E-06,-4.991399828,-47.53539273
56,[3],NCIH1876, AS-703569 ,37.1189215,2.076769441,5.75E-09,-8.302770657,33.77326154
57,[3],NCIH1930, AS-703569 ,49.90125735,1.486778554,3.18E-07,-7.966576245,51.165835
58,[4],NCIH196, AS-703569 ,-63.92102847,1.634691901,7.96E-07,-4.744727495,-71.31927649
59,[3],NCIH1963, AS-703569 ,16.07394348,2.740341343,5.63E-09,-8.26520017,16.90333746
60,[1],NCIH2029, AS-703569 ,-77.86641392,0.02830148,1.29E-05,-4.782516056,-75.01092137
61,[4],NCIH2066, AS-703569 ,-20.47660507,1.489372784,4.72E-07,-6.059483515,-19.78101611
62,[3],NCIH2081, AS-703569 ,7.373605178,3.527256562,2.45E-09,-9.041436117,13.10598668
63,[3],NCIH209, AS-703569 ,-14.02754419,4.204105379,1.13E-10,-8.954677021,-24.35014464
64,[4],NCIH211, AS-703569 ,-1.17810401,4.10372458,6.91E-10,-9.131355562,-2.460256615
65,,NCIH2141, AS-703569 ,46.17909512,1.606561428,1.50E-08,-7.982966661,44.68396192
66,[2],NCIH2171, AS-703569 ,15.64951635,2.642444718,8.02E-09,-8.132532512,15.26637457
67,[2],NCIH446, AS-703569 ,26.20155083,1.823915588,5.66E-08,-7.4710833,26.34745904
68,[1],NCIH510, AS-703569 ,-48.16817429,0.896057279,2.60E-06,-4.991399828,-47.53539273
69,[2],NCIH524, AS-703569 ,17.85758529,2.712750437,5.22E-09,-8.302770657,15.79010908
70,[2],NCIH526, AS-703569 ,40.14429531,1.703521118,1.94E-08,-7.844663963,37.42599991
71,[3],NCIH69, AS-703569 ,-16.08404022,4.246394007,1.59E-10,-8.838631998,-36.71917109
72,,NCIH69/CPR, AS-703569 ,20.63236942,1.928149231,3.94E-08,-7.42945706,20.94048881
73,,NCIH69/LX10, AS-703569 ,27.10018699,1.394878371,1.32E-07,-6.913640169,27.90989394
74,,NCIH69VCR/R, AS-703569 ,-10.98602702,0.143655791,8.42E-06,-5.04431225,-10.26565459
75,[2],NCIH82, AS-703569 ,45.62401149,1.793527468,1.57E-08,-8.298432015,46.00735803
76,[4],NCIH841, AS-703569 ,26.23307189,2.291003747,1.18E-08,-8.105683937,26.35942427
77,[3],NCIH889, AS-703569 ,31.7593672,2.854845368,5.18E-09,-9.218244625,53.63755695
78,[1],SHP77, AS-703569 ,10.55609662,0.30175905,4.76E-06,-5.337242168,9.99703995
79,[4],SW1271, AS-703569 ,-66.45359075,5.602225334,2.07E-24,-6.978810701,-305.7718242
80,[1],COLO668, BMS-387032,8.049256435,1.181287123,6.05E-07,-6.277366077,8.19403829
81,[1],CORL88, BMS-387032,23.92141012,1.215725961,5.00E-07,-6.586700236,21.76371548
82,[3],CORL47, BMS-387032,48.54229403,0.922261558,3.11E-07,-6.793174124,50.4143308
83,[4],DMS114, BMS-387032,0.748337848,1.746653673,1.75E-07,-6.759450752,0.684866684
84,[2],DMS273, BMS-387032,9.884102453,1.147461653,5.64E-07,-6.273272791,9.69667419
85,[1],DMS53, BMS-387032,17.40109907,0.516344666,3.29E-06,-5.596879479,16.95953366
86,[3],DMS79, BMS-387032,43.33068609,0.972465619,2.99E-07,-6.716698771,40.10271838
87,[4],NCIH1048, BMS-387032,0.78675559,1.781312674,1.61E-07,-6.795880017,0.786873592
88,[3],NCIH1092, BMS-387032,11.5475536,1.563723423,1.87E-07,-6.76700389,10.59161948
89,[3],NCIH1105, BMS-387032,0.325846743,1.641123853,2.26E-07,-6.645891561,0.331998203
90,[4],NCIH1341, BMS-387032,34.86481821,1.182328322,1.68E-07,-6.815308569,35.24740164
91,[3],NCIH1436, BMS-387032,2.276273617,1.581322922,2.45E-07,-6.617982957,2.293809849
92,[3],NCIH146, BMS-387032,17.81069125,1.560262799,1.32E-07,-6.899629455,17.90794518
93,[3],NCIH1618, BMS-387032,14.20797762,1.334237861,3.16E-07,-6.555955204,14.30847089
94,[2],NCIH1694, BMS-387032,8.719463794,1.409639647,3.06E-07,-6.543633967,8.419443615
95,[3],NCIH1836, BMS-387032,11.86339773,1.50377764,2.12E-07,-6.705533774,11.71973164
96,[3],NCIH1876, BMS-387032,2.600164352,1.58347215,2.42E-07,-6.625251654,2.51087776
97,[3],NCIH1930, BMS-387032,36.31537869,1.173149585,1.61E-07,-6.841637508,36.16220448
98,[4],NCIH196, BMS-387032,27.99015795,1.341383382,1.50E-07,-6.863279433,27.41274882
99,[3],NCIH1963, BMS-387032,3.233253421,1.852222101,1.23E-07,-6.913640169,3.722675369
100,[1],NCIH2029, BMS-387032,8.070391383,1.153710889,5.78E-07,-6.254925208,8.143205529
101,[4],NCIH2066, BMS-387032,40.58777318,0.832952532,4.65E-07,-6.402304814,39.47514723
102,[3],NCIH2081, BMS-387032,28.15873425,1.000637147,4.43E-07,-6.392544977,26.67802671
103,[3],NCIH209, BMS-387032,5.455970698,1.629437944,1.94E-07,-6.723538196,5.459902816
104,[4],NCIH211, BMS-387032,0.018728391,1.798305878,1.59E-07,-6.798602876,0.018325493
105,,NCIH2141, BMS-387032,6.496169783,1.362526173,3.69E-07,-6.457174573,6.216753031
106,[2],NCIH2171, BMS-387032,8.696845814,1.45104941,2.78E-07,-6.590066877,8.74172653
107,[2],NCIH446, BMS-387032,7.379323896,1.39415959,3.19E-07,-6.505845406,8.165770093
108,[1],NCIH510, BMS-387032,11.86339773,1.50377764,2.12E-07,-6.705533774,11.71973164
109,[2],NCIH524, BMS-387032,3.02974552,1.722662429,1.70E-07,-6.777283529,2.90479842
110,[2],NCIH526, BMS-387032,0.94308202,1.893091204,1.23E-07,-6.910094889,0.974271211
111,[3],NCIH69, BMS-387032,23.80585625,1.38100936,1.71E-07,-6.812479279,23.14285655
112,,NCIH69/CPR, BMS-387032,21.38408751,1.499251049,1.32E-07,-6.906578315,21.35423049
113,,NCIH69/LX10, BMS-387032,96.74182167,0.161279693,,-7.050122296,101.6660513
114,,NCIH69VCR/R, BMS-387032,66.43283747,1.119978395,,-7.283162277,74.56173671
115,[2],NCIH82, BMS-387032,1.238175483,1.770641711,1.62E-07,-6.793174124,1.249987635
116,[4],NCIH841, BMS-387032,1.937576298,1.320030263,4.55E-07,-6.345823458,1.934519845
117,[3],NCIH889, BMS-387032,5.867157846,0.794519208,1.52E-06,-5.841637508,5.590413141
118,[1],SHP77, BMS-387032,-3.250985047,0.262466119,6.96E-06,-5.141462802,-3.232191791
119,[4],SW1271, BMS-387032,-1.202097451,1.079447457,9.15E-07,-6.028260409,-1.179116745
120,[1],COLO668, Dabrafenib,73.84930424,0.044223507,,-5.044793462,75.56270942
121,[1],CORL88, Dabrafenib,92.19323212,0.028411457,,-5.363512104,85.52538597
122,[3],CORL47, Dabrafenib,95.04428367,0.049635857,,-6.001740662,94.36939821
123,[4],DMS114, Dabrafenib,73.37364747,0.270506775,,-6.015922966,68.36522725
124,[2],DMS273, Dabrafenib,88.94068892,0.056306667,,-5.508638306,88.49837419
125,[1],DMS53, Dabrafenib,71.27874722,0.124887156,,-5.266802735,70.49473229
126,[3],DMS79, Dabrafenib,-144.2103796,6.204424932,6.36E-10,-9.459670525,-132.814595
127,[4],NCIH1048, Dabrafenib,-107.2960204,0.017175112,1.09E-05,-4.899629455,-100.688393
128,[3],NCIH1092, Dabrafenib,-99.96936508,5.200071264,5.85E-10,-9.399027104,-97.22952276
129,[3],NCIH1105, Dabrafenib,93.74289882,0.232249559,,-8.288192771,93.45075718
130,[4],NCIH1341, Dabrafenib,73.51783949,1.72038783,,-5.503070352,89.76121325
131,[3],NCIH1436, Dabrafenib,37.05849563,2.094421867,2.54E+16,-6.801342913,51.33094516
132,[3],NCIH146, Dabrafenib,92.97515191,0.091640803,,-6.304518324,86.68551206
133,[3],NCIH1618, Dabrafenib,42.97265585,2.155316512,1.54E-27,-6.8569852,64.08272796
134,[2],NCIH1694, Dabrafenib,95.87631427,0.179897772,,-7.638272164,95.92799515
135,[3],NCIH1836, Dabrafenib,89.29990163,0.112231545,,-6.048662481,84.42909732
136,[3],NCIH1876, Dabrafenib,56.8759468,1.564582548,,-7.568636236,74.91668738
137,[3],NCIH1930, Dabrafenib,93.25865294,0.091578325,,-6.358525889,89.19208937
138,[4],NCIH196, Dabrafenib,98.66067712,0.016254688,,-6.21395879,96.23294292
139,[3],NCIH1963, Dabrafenib,89.53384256,0.721641116,,-5.074687909,99.5990595
140,[1],NCIH2029, Dabrafenib,92.20354176,0.032525328,,-5.410050399,87.56207287
141,[4],NCIH2066, Dabrafenib,70.02634857,0.146612773,,-5.485452247,69.40845243
142,[3],NCIH2081, Dabrafenib,90.23027165,0.046601104,,-5.476253533,89.2537442
143,[3],NCIH209, Dabrafenib,78.06813603,0.314758743,,-6.435333936,76.03369106
144,[4],NCIH211, Dabrafenib,91.77219855,0.20506558,,-9.530177984,90.44996153
145,,NCIH2141, Dabrafenib,94.86131334,0.082392475,,-6.603800653,81.92055825
146,[2],NCIH2171, Dabrafenib,39.03942402,0.011479017,1.51E-05,-4.924453039,37.81262717
147,[2],NCIH446, Dabrafenib,50.34873212,1.907406286,,-6.688246139,68.4321409
148,[1],NCIH510, Dabrafenib,87.79158611,0.107303043,,-5.879426069,85.93212924
149,[2],NCIH524, Dabrafenib,85.57721417,0.200741109,,-6.391473966,80.95311558
150,[2],NCIH526, Dabrafenib,71.19542451,0.403635522,,-6.401209493,65.91565374
151,[3],NCIH69, Dabrafenib,10.79389304,3.248993894,1.77E-14,-5.860120914,18.46429161
152,,NCIH69/CPR, Dabrafenib,38.57973054,2.051239572,2.4E+15,-7.097997109,52.60746563
153,,NCIH69/LX10, Dabrafenib,39.45293716,0.558613553,9.81E-06,-5.823908741,39.83113917
154,,NCIH69VCR/R, Dabrafenib,49.85320097,0.504097202,9.54E-05,-5.987162775,49.2788549
155,[2],NCIH82, Dabrafenib,15.55739935,2.680704998,3860867.83,-3.464189592,24.54594053
156,[4],NCIH841, Dabrafenib,52.14003693,0.279818568,,-5.175874166,51.85612095
157,[3],NCIH889, Dabrafenib,68.96370585,1.043985595,,-7.437707136,83.36607901
158,[1],SHP77, Dabrafenib,88.17202163,0.039304609,,-5.322393047,89.33171146
159,[4],SW1271, Dabrafenib,-231.1503083,0.051514106,0.000288192,-2.324970958,-217.0488645
160,[1],COLO668, Pazopanib,-36.62601066,0.018656903,1.47E-05,-4.772113295,-36.25237858
161,[1],CORL88, Pazopanib,85.56629039,0.844768288,,-5.924453039,91.69720563
162,[3],CORL47, Pazopanib,85.75223283,0.229458864,,3.066888162,90.75728341
163,[4],DMS114, Pazopanib,12.77701394,0.567527498,3.16E-06,-5.598599459,12.47406398
164,[2],DMS273, Pazopanib,23.13429427,3.31075837,5.78E-10,-9.307153081,95.80628634
165,[1],DMS53, Pazopanib,2.413400671,0.290342909,1.98E-05,-4.732828272,2.338728982
166,[3],DMS79, Pazopanib,74.09821118,0.084695203,,-5.241088108,73.11338947
167,[4],NCIH1048, Pazopanib,4.540511752,0.349564949,1.28E-05,-4.946921557,4.360728434
168,[3],NCIH1092, Pazopanib,79.29372944,0.064050538,,-5.294136288,80.06646396
169,[3],NCIH1105, Pazopanib,15.65361205,0.178177161,2.06E-05,-4.841637508,15.29180719
170,[4],NCIH1341, Pazopanib,-30.22357658,0.283615408,9.51E-06,-4.818156412,-29.86823767
171,[3],NCIH1436, Pazopanib,-70.89278574,0.043681156,1.31E-05,-4.749579998,-66.02342384
172,[3],NCIH146, Pazopanib,51.27814606,0.142132612,,-5.258848401,52.46164644
173,[3],NCIH1618, Pazopanib,67.51639671,0.192823091,,-5.57024772,72.11680039
174,[2],NCIH1694, Pazopanib,82.57440617,0.064091783,,-5.359518563,82.25712076
175,[3],NCIH1836, Pazopanib,76.50403629,0.080530076,,-5.330683119,76.79776015
176,[3],NCIH1876, Pazopanib,47.23845824,0.108533319,7.94E-05,-4.987162775,46.72326204
177,[3],NCIH1930, Pazopanib,86.5259204,0.048074041,,-5.355561411,84.40155069
178,[4],NCIH196, Pazopanib,89.86433281,0.196352017,,-6.935542011,86.06341756
179,[3],NCIH1963, Pazopanib,18.18593045,0.39363142,8.74E-06,-5.27083521,19.62818394
180,[1],NCIH2029, Pazopanib,78.84493197,0.200305165,,-5.946921557,73.8478315
181,[4],NCIH2066, Pazopanib,95.54061762,0.226258216,,-6.924453039,98.04852625
182,[3],NCIH2081, Pazopanib,56.7496709,0.176987341,,-5.36251027,58.95730517
183,[3],NCIH209, Pazopanib,45.49801907,0.17798812,2.26E-05,-5.247183569,46.81904859
184,[4],NCIH211, Pazopanib,2.407023589,0.719019084,1.46E-05,-4.89279003,2.287022263
185,,NCIH2141, Pazopanib,67.82732561,0.074330014,,-5.050609993,65.73487838
186,[2],NCIH2171, Pazopanib,53.80489904,0.152473401,,-5.246416941,55.55019239
187,[2],NCIH446, Pazopanib,56.75424651,0.360954484,,-5.812479279,55.54121383
188,[1],NCIH510, Pazopanib,68.01454709,0.165118181,,-5.496209317,68.31016178
189,[2],NCIH524, Pazopanib,16.61932333,0.023570408,1.83E-05,-4.793174124,16.96785436
190,[2],NCIH526, Pazopanib,75.84867992,0.187356523,,-5.730487056,74.31373571
191,[3],NCIH69, Pazopanib,55.41087371,0.18547079,,-5.415668776,53.80433724
192,,NCIH69/CPR, Pazopanib,82.81344443,0.072939132,,-5.424812155,80.99716375
193,,NCIH69/LX10, Pazopanib,86.41092667,0.024855839,,-5.097997109,84.55203198
194,,NCIH69VCR/R, Pazopanib,60.028464,0.240241723,,-5.476253533,58.18367614
195,[2],NCIH82, Pazopanib,39.35890616,0.516839383,1.74E-06,-5.850780887,39.14416006
196,[4],NCIH841, Pazopanib,-135.3686894,0.152843399,1.29E-05,-4.417936637,-134.3520231
197,[3],NCIH889, Pazopanib,-365.9770699,0.014562058,1.11E-05,-4.829738285,-365.8998483
198,[1],SHP77, Pazopanib,86.40636157,0.04413295,,-5.321481621,86.72104473
199,[4],SW1271, Pazopanib,58.12275781,0.167571944,,-5.400116928,53.35934485
200,[1],COLO668, ZIP-301,38.65476276,1.157415905,2.50E-07,-6.886056648,37.46071704
201,[1],CORL88, ZIP-301,47.70678995,0.552344989,4.49E-06,-6.054039296,48.73320397
202,[3],CORL47, ZIP-301,50.37192471,0.985169442,,-6.987162775,47.68531695
203,[4],DMS114, ZIP-301,11.30065745,2.066976094,5.30E-08,-7.330683119,11.62599227
204,[2],DMS273, ZIP-301,43.12054221,1.303554252,1.09E-07,-7.2915791,41.12493461
205,[1],DMS53, ZIP-301,55.09927195,0.91001788,,-7.022276395,53.4300046
206,[3],DMS79, ZIP-301,16.87318577,1.086271965,1.57E-05,-5.452225295,17.98669635
207,[4],NCIH1048, ZIP-301,2.800862743,2.2845178,4.57E-08,-7.350665141,2.764707216
208,[3],NCIH1092, ZIP-301,34.8370673,1.302835196,2.84E-07,-6.995678626,35.24052391
209,[3],NCIH1105, ZIP-301,6.424517098,2.237546936,4.41E-08,-7.391473966,6.338635501
210,[4],NCIH1341, ZIP-301,16.75580694,1.454415865,2.44E-07,-6.744727495,16.1284822
