cells,ACTB,FSTL1,JAG1,HEY2,MYCL1,PCNA,ASCL1,CHGA,GAPDH,HSP90AB1,MYCN,RBPJ,CALCA,CHGB,GSTO1,NOTCH1,NCAM1,REST,CCNB1,DLL1,KRT19,JAG2,RPLP0,SPARC,CCND1,IGFBP7,MMP14,NRARP,NOTCH2,SOX2,CD44,DLL4,HES1,QPCT,NOTCH3,SYP,CXCL10,EPCAM,HES5,MDK,NOTCH4,UCHL1,DLL3,emeraldGFP,HEY1,MYC,SLPI,VIM
neg-19,16.79209228,21.06451968,20.64689513,999,22.48520414,17.25079319,13.42762379,18.11199319,14.19348166,15.02152854,16.92088143,20.61113494,12.23667476,18.56176531,999,999,20.95355572,999,17.50415975,20.89997822,26.48989482,18.90558142,15.56651333,21.16425094,999,17.56507111,21.97031808,999,999,22.10695091,999,20.66981795,26.43991248,16.78963529,28.01107655,18.06116827,27.15738173,17.45277499,999,999,26.56230152,17.8272625,21.18487295,19.63831741,21.26626324,999,999,20.87004214
neg-2,17.8332156,999,999,22.6097344,999,20.8108199,14.84080918,20.06052319,16.2459532,16.41375158,16.53187062,18.58548194,16.1588692,18.44446751,999,21.8330721,21.12685455,21.12271576,14.86624852,19.64340813,999,20.29763969,16.36712006,21.30529049,21.01597853,16.26326788,999,21.04944066,21.5503706,20.81666498,999,999,999,17.15110376,999,19.94905617,19.25024305,16.64016065,999,999,999,18.39883799,19.36326829,999,21.4963473,999,26.25969043,999
neg-20,16.26611159,27.83488579,20.66928074,999,22.176692,23.92258376,15.16410871,20.97404508,15.40427954,15.22630311,16.89462489,19.28736937,15.38294634,19.5652342,999,21.17748838,19.00913174,999,14.59406963,18.50302297,999,999,16.31521111,20.06923868,999,18.7920793,999,19.24569459,999,20.74652558,999,999,999,16.52873094,999,19.31281367,28.54906871,18.60942286,999,20.47216776,999,18.26169582,20.8162766,999,999,27.41693609,28.63579662,999
neg-21,18.11012442,999,26.37254325,21.94360317,23.27033671,18.39704752,12.68605374,18.96443967,14.8059745,15.31713292,16.57783831,19.582869,14.17164832,21.76728528,999,20.8253055,21.58903896,999,20.54174041,18.27219491,999,999,15.4798953,20.98382721,22.82434654,15.79899856,19.08112955,999,24.34462099,21.11190031,999,19.11228251,20.9636263,16.75485082,24.04194083,18.96703491,999,19.05017103,999,999,22.96320761,17.19907389,20.2241917,19.82970625,999,999,27.54610855,21.47347239
neg-22,19.70158521,23.97648855,23.56315221,22.038866,999,16.95443336,13.07220065,18.86608316,16.54175513,15.21016403,16.18905005,19.16564352,12.89381204,18.85894268,999,999,24.14069973,999,19.22790157,19.30708528,999,999,16.26916763,21.70938465,999,16.84399703,20.18202612,20.61059321,20.64809474,20.45529341,999,19.76804292,999,17.07541022,999,24.63731784,26.66684206,20.61102965,999,999,21.28280074,16.96073449,20.75256905,20.23370718,21.53571327,999,25.89895736,999
neg-23,22.67947549,18.98717727,26.63062001,24.80489976,24.53122361,21.03725012,15.03481376,18.60612846,13.07941223,16.41522035,16.25551266,17.58794289,13.93085482,18.71962805,999,19.89336464,999,999,15.6207598,20.35948841,23.46158354,999,16.21716745,20.11116792,20.65558693,16.98108471,17.56555124,999,999,20.25602158,999,999,999,16.24472073,24.44666584,24.5005279,19.75551399,19.37318647,25.69592828,18.10735033,28.52011609,20.59844369,27.92979729,20.60610348,21.44932725,25.22217095,21.98803715,19.79423236
neg-24,17.1760672,22.75502561,20.96659209,999,27.48053674,16.58761228,14.00916466,17.81850732,16.06343999,15.03823655,16.85295904,999,13.79781051,16.99943606,999,21.41932521,21.39224908,999,19.02562092,19.15952371,999,19.93881298,16.43722619,20.5747598,999,16.92405445,22.73393727,999,27.83670411,19.79677538,25.76046962,26.85124242,999,16.72694427,999,20.46319275,999,19.32924837,999,19.40539326,999,17.58034727,21.1585891,19.06396639,21.34604461,25.37319044,26.39259224,28.03250103
neg-25,16.87048104,26.4356545,22.37294603,19.88700727,22.67576365,18.51428203,13.09148118,19.01468009,15.43650848,15.59233029,16.08267339,19.35234173,13.23954092,18.9420468,999,24.21475362,20.29866108,999,19.1822712,18.64547094,999,18.99182773,15.7074951,20.14799813,23.82806588,19.85563378,999,20.08826932,20.83432477,20.85007134,999,999,999,16.4139237,999,20.53904037,999,17.55572036,999,999,25.75570307,19.0495907,25.50407502,18.60792954,999,24.36046756,28.70453138,999
neg-26,17.82605829,23.13541329,28.21258555,999,21.43762524,21.32150837,16.22229296,19.17605442,17.21062054,15.54845793,16.60241253,19.22078242,18.05328755,18.54282503,25.02198871,20.90821342,20.33144796,20.82916897,16.57950634,19.76540948,999,24.60822685,16.39202042,19.61193359,999,19.02709641,999,999,23.10970241,19.7828804,999,999,999,16.32555798,999,20.7524811,999,16.71220278,23.17293056,20.42341561,999,17.29581087,21.29250909,20.88596131,999,999,28.03939321,20.76728254
neg-27,20.6422743,999,23.6953737,25.76705614,999,999,15.67473949,20.60036835,18.59692231,19.41779654,16.53239374,999,13.3092197,19.39458329,999,20.01823834,21.76508652,999,18.79923714,20.40794176,999,999,16.37675247,19.61639889,999,16.76011274,999,999,21.52415834,22.75694638,999,999,999,16.4645522,999,20.11711502,999,20.71976751,999,999,999,19.29855918,21.97535421,19.83599038,999,23.5769523,28.97129231,999
neg-28,17.81256643,999,24.31039488,999,23.08118103,22.62020895,13.41939756,20.49826538,15.63613455,16.51322706,15.88252345,18.42561343,16.31853941,18.94013096,20.76809808,22.23750682,18.92402553,999,14.25906526,17.77064595,999,19.7795459,15.00207293,21.32569316,999,17.66035763,24.70344249,20.63420501,19.9185835,21.37943876,999,999,20.45226673,16.14701183,999,18.02163079,999,16.8042639,999,999,999,17.43236343,20.84858981,19.66713063,19.6927217,999,26.84843911,20.47287577
neg-29,20.6136438,999,25.10491166,27.7930541,21.40096594,17.05660148,16.83691209,999,15.58966276,16.02397714,16.22835954,17.41033584,15.63367021,19.93847761,23.51573289,20.63753203,20.42665573,999,16.5657844,18.11807031,999,22.4194571,15.83393215,20.58890393,26.53566156,16.90158061,20.71674079,19.6820589,999,19.88586648,999,20.91166578,19.68663054,16.40655723,24.52968243,20.79439295,19.09321734,18.16220182,999,20.42148095,999,18.52879003,28.77078765,18.63737316,21.435009,20.23275428,28.41612227,999
neg-3,19.6976303,999,999,999,24.70493344,20.72700961,13.86607729,16.50094156,16.51834034,15.80692739,16.23149663,20.46933998,12.6465294,25.90768468,20.02324651,27.09489054,20.27982225,999,20.31208819,20.09840105,20.31158345,999,16.24801914,20.79510755,999,17.68911443,20.51847389,20.32333222,21.90777177,20.24101463,999,999,999,16.58299238,999,19.65945937,22.2998417,18.5689268,999,999,20.81856019,17.6804758,19.96948425,22.14043832,999,999,28.82060345,999
neg-30,16.81415255,25.62148203,21.95921842,23.93715764,999,16.6327512,12.3495106,17.93837518,15.17612457,13.82482242,16.82275526,17.51759116,11.38379842,18.89693217,999,25.61381484,22.37585083,999,21.65486681,17.98976335,999,20.00194672,14.92580607,21.26216752,999,17.90524554,999,999,999,20.55786585,999,19.56708123,999,16.23183735,999,25.90920204,999,18.83597296,999,999,999,16.70136329,18.82800335,18.81683456,24.38436882,999,28.61751717,27.65736915
neg-31,16.46962719,20.88741161,21.70309345,28.82090499,999,999,13.55326782,17.70573689,15.93460701,15.82884593,16.36501287,19.99898603,11.19571249,19.58343594,999,20.47483387,999,999,21.86488561,19.82104526,999,18.70523213,16.24267366,20.12815147,999,16.75729394,27.61084349,999,999,22.23481361,999,28.79459676,999,16.60020624,999,20.24016481,20.66529234,18.76217475,999,20.37666069,999,17.14503282,26.70677856,18.79315636,999,999,27.07717988,21.28060623
neg-32,23.20248936,999,20.8750833,27.86592126,999,20.45608705,16.42711124,20.41556907,18.61973355,17.70702199,17.55825288,999,15.28434679,27.77209861,23.30017432,20.81112109,999,999,18.99751522,19.89249581,20.15061014,999,16.25949086,20.57211121,999,17.05908749,999,999,999,22.7644325,999,999,999,16.39265346,999,999,999,20.89201764,999,999,26.62531432,20.38930905,999,17.18693297,20.15932516,999,27.91545344,21.26144916
neg-4,18.18006877,24.61905644,21.07498939,28.75372704,999,20.7940961,15.81934696,20.57440665,16.54532587,15.32902476,16.54724005,19.60119343,13.33387792,18.48274836,21.83617657,24.14872723,20.86999724,999,25.02320593,20.51756544,999,999,15.92280155,21.85360448,22.8010053,16.26531867,19.69655017,999,21.39666214,21.1835998,999,21.10570128,999,16.66951327,25.23240117,19.8852898,999,18.43270774,23.97710832,999,21.05982887,20.170122,20.32192723,21.03042391,999,21.16838484,25.77037639,999
neg-5,17.26689931,999,25.04746432,22.91196903,21.63647929,19.89029054,14.2476658,20.70248113,16.77320136,16.72827298,16.26486135,999,14.64361531,18.81442635,999,20.38896037,21.1802609,999,18.71222347,20.55408011,999,999,15.85863652,20.4497674,999,15.60535162,999,20.23941104,999,20.24438438,999,20.98799963,999,17.03318721,999,21.10806224,999,20.48068284,999,22.17573491,999,17.74662042,999,21.41012767,999,999,28.33670132,999
neg-6,18.43533692,999,999,21.33632096,22.12474171,19.43532129,15.82163343,999,16.02279223,19.0219418,16.41863435,24.70218445,13.34041215,21.39999103,999,22.69847132,20.41523927,999,20.36963201,20.38756842,28.17913747,999,16.34817556,21.8562757,999,19.91246134,999,20.29903231,999,20.12604857,999,23.88198456,999,16.43880466,999,25.51299259,26.14710815,19.7909251,999,999,28.40892286,999,999,20.32196442,22.14122842,999,22.83309537,999
neg-7,17.51041525,23.65393295,999,27.67496543,22.79745807,20.79634761,15.62238786,19.05951812,14.46801389,15.15214863,16.31732997,19.32227063,15.18122298,20.39291503,20.50730271,21.16778067,999,999,18.42295147,18.9939551,999,999,15.71325188,21.77567441,21.03824121,15.08532049,999,19.96839708,999,20.49974961,999,999,24.42284133,16.41524186,999,20.4104025,21.49055006,16.31222773,999,19.77412093,22.71141719,17.22539065,19.77620495,19.80663585,22.25426921,999,28.77965799,22.96927087
neg-8,22.55312386,21.44701691,999,21.09758928,999,23.94076647,17.54010624,999,18.90481761,20.76587641,16.94561367,999,16.47746925,999,999,20.74092729,21.94490277,999,19.46200061,21.36109145,999,999,17.8089924,20.1609545,999,17.53679571,999,24.54940981,999,20.8120856,20.62188993,999,23.92657278,16.80965729,999,999,999,21.36139413,999,999,999,19.93348036,999,23.11416167,999,999,25.26484759,999
neg-9,17.19595822,999,28.19961532,999,999,20.49568966,14.54346477,18.70751732,15.96081094,15.7924603,16.44722813,19.41293919,15.19468747,19.63897601,999,20.54497594,999,999,21.11232727,19.31555155,999,26.45494005,17.01173287,22.06279335,25.03951567,19.13821181,25.29706043,999,999,20.53404116,999,999,999,16.45874662,21.71214942,19.61024197,999,19.75052426,999,999,999,17.20155635,21.33999134,17.83587808,999,28.94646551,24.9754048,999
