Gene,GFPneg #1,GFPneg #2,GFPneg #3,GFPhigh #1,GFPhigh #2,GFPhigh #3
Hspbp1,8.042144621,8.043991284,8.078510173,7.550395943,7.479091633,7.54691888
Gna11,9.524528875,9.686111881,9.532667478,8.9893258,9.128946126,9.035828463
Suv39h1,7.807112192,7.568541283,7.81515748,7.109948001,7.183269218,7.306861577
Aarsd1,6.718019872,6.737270252,6.778955064,6.025113316,6.310815409,6.305191378
Tubgcp4,8.515577392,8.825050482,8.688053723,8.03555547,8.108793601,8.291140915
Psmd13,7.808037666,7.683526402,7.767923116,7.105921204,7.198869124,7.361409226
Cpsf2,8.100683601,8.073074762,7.986819524,7.537293429,7.356592914,7.670408191
1110004F10Rik,9.370240019,9.040130825,9.039888451,8.73602018,8.51700905,8.598985277
Pitpnm1,8.131528675,8.189558997,7.949596349,7.463997696,7.627367445,7.580381059
Klhl15,6.705198689,6.831118931,6.813969168,6.346172689,6.289472994,6.115287257
Camkk2,7.145463485,7.186932198,7.335840203,6.714152295,6.642908458,6.711719678
Mmgt1,7.860115927,7.836882631,7.984532938,7.332472688,7.259338557,7.489828444
2310081J21Rik,6.290878983,6.309661432,6.4206441,5.822975534,5.714578425,5.881788141
Fxr2,8.64930299,8.748024731,8.738682459,8.172860136,8.20388897,8.156205803
Tmub1,6.354836886,6.517453421,6.207605913,5.852684258,5.827054858,5.796417274
Cnksr3,7.6406455,7.640856724,7.767474061,7.222341595,7.157716395,7.064669767
Gatc,9.61234593,9.933275033,10.04873931,9.009354938,9.386305872,9.593597039
Kidins220,9.295169063,9.310774208,9.277204131,8.801361778,8.657998703,8.818517553
Gm8738,6.14996569,6.004994119,6.069524757,5.524645419,5.41040483,5.683671913
Dnajb11,8.478956548,8.497202458,8.473632355,8.006455599,7.866873077,7.969248605
Myo7a,7.270995746,7.312178054,7.211381917,6.526903603,6.696644259,6.962676361
Smarca5,8.362954049,8.231896133,8.526684671,7.768983657,7.774853925,7.96615163
Specc1l,9.50713203,9.492355245,9.265776101,8.920497558,8.790076089,8.941445316
4932442E05Rik,6.369927103,6.002081868,6.173351643,5.651006163,5.59259633,5.68802671
Samd4b,8.909968607,9.101852377,8.964110672,8.338048997,8.539449224,8.48441312
Trim7,5.241552465,5.484361847,5.481851241,4.940153097,4.897548878,4.755559641
Fam53a,6.899761667,7.168632101,6.796428759,6.531792563,6.437280391,6.279870706
Hs3st6,6.987117962,6.770137931,6.767262486,6.323565582,6.262784357,6.320948864
Pus3,7.380517378,7.214449781,7.084786892,6.698681152,6.552684848,6.808721965
Ddx19b,6.625567122,6.393311343,6.632637334,5.88584465,6.074030319,6.071909468
A4galt,5.400690674,5.172777081,5.28660831,4.824650929,4.674211069,4.740649047
Ap1ar,10.54725932,10.88278267,10.81608197,10.06291821,10.13292345,10.42896363
Otud6b,8.829333241,8.733072663,8.716519575,8.209681482,8.243216493,8.204251285
Eif1ax,9.514667778,9.262085471,9.395017143,8.837946886,8.789963355,8.921791735
Wbp11,8.301861268,8.362566939,8.386256118,7.794600886,7.785829415,7.847802097
Desi2,6.262138172,6.194025692,6.071603049,5.579191195,5.593630603,5.731794847
Olfr187,3.182706587,3.135016334,3.198299809,2.78095454,2.632470927,2.478633761
Dst,8.602639187,8.812737978,8.48352759,8.134517122,8.112529223,8.027433286
Fam3b,4.059162532,4.557676301,4.538153515,3.686465937,3.768899656,4.074246857
Agk,7.407396789,7.471579884,7.468231939,7.025990701,6.782318976,6.912943342
Lig1,8.730719634,8.774466146,8.705671625,8.137496763,8.171653184,8.273688518
Foxred1,7.368317431,7.548831133,7.491662156,6.817265354,6.94745973,7.014827059
Eme1,5.417192608,5.589953245,5.795920579,5.048690935,5.014217116,5.110196482
Rimkla,6.201600587,6.507096876,6.568177476,5.610021101,5.874533813,6.160883173
Stim1,8.408992815,8.644396153,8.378854343,7.976549065,7.842883646,7.979007721
Cntn1,5.924930059,5.986114235,5.998122375,5.410195502,5.397161338,5.467841562
Sstr1,5.219932581,5.45623086,5.340662461,4.800466277,4.779699144,4.801602862
Phtf1,7.869205409,7.910132479,7.901483232,7.287734585,7.331303181,7.425759786
Slc35a4,6.924591491,7.181680662,6.896923826,6.392773992,6.544035194,6.429483017
Gm15706,7.13333609,7.139353841,6.806463239,6.788774223,6.300877485,6.352389434
Diras1,6.121771897,6.168506773,6.078663673,5.814050117,5.398324625,5.519083025
Ppm1g,9.508334997,9.414714498,9.464745923,8.829594133,8.901368568,9.016994103
Tmem169,5.516186662,5.64481407,5.738323733,5.068229815,4.91801763,5.27263169
Xbp1,10.36850023,10.62572485,10.4439356,9.832968743,9.791098248,10.17080265
Gabarapl2,8.280772992,8.453078521,8.294028514,7.754535428,7.808459671,7.821535262
Kbtbd2,7.066222366,6.986899692,6.969786704,6.495580209,6.281858046,6.600259061
Sde2,8.814287411,8.50887138,8.626730442,8.136201373,8.036561807,8.130053938
Egr1,12.36853147,12.50167181,12.35034361,11.87927344,11.78330118,11.91080799
Gm10589,5.784559244,5.830885752,5.636537176,5.496289139,5.01089023,5.096972288
Zfp60,5.262711133,5.568801519,5.642094137,4.989501737,4.821597484,5.012608335
Zbtb44,9.345770066,9.358889775,9.106507209,8.69239105,8.6369955,8.830994828
Hsdl1,6.425477715,6.548194002,6.460489922,6.094674327,5.722043667,5.965862075
Cmtm4,8.266926361,8.41763054,8.349243306,7.729048344,7.644146075,8.008033253
Arsb,9.087687101,9.476079428,9.222707141,8.624232229,8.731039311,8.77852481
Fam19a2,4.927288039,4.886461458,5.01831924,4.188321979,4.489005627,4.500046098
Galnt11,7.563321086,7.691705004,7.682883192,7.127462984,6.970108342,7.184773551
Dnajb1,9.793091892,9.755708076,9.482754081,9.235003581,9.080182263,9.059957731
Crtc3,8.229450095,8.612186185,8.443840098,7.739323771,7.872565361,8.016807637
Cyth2,8.596576539,8.62785789,8.815687411,8.059021527,8.208400402,8.114955608
Cage1,4.813142907,4.714048204,4.738193989,4.236710716,4.367360861,4.001884078
Nlgn3,6.586717267,6.661823741,6.828776411,6.213379404,6.161230234,6.043212732
0610011F06Rik,8.866535871,8.801220055,8.543228421,8.128176979,8.188762718,8.234524139
Ralgds,9.045119512,9.173737704,9.018951669,8.580197235,8.489508401,8.508565526
Pabpc4,6.202878421,6.14360436,6.36032799,5.826710803,5.589213372,5.630945101
Ahsg,5.920905061,5.921617352,6.01871751,5.057690166,5.497309771,5.646040355
Sgsm2,7.297250984,7.552587804,7.313487773,6.807773267,6.681665403,7.013405107
Phrf1,7.9421599,7.788191797,7.961502807,7.432934155,7.18686339,7.410805576
Prpf31,8.364374866,8.339720008,8.256722285,7.719208135,7.642433992,7.93771168
Slc25a11,9.624056338,9.760157336,9.425212603,8.93761399,9.039826524,9.170378009
Cap1,10.38791541,10.47972727,10.58528139,9.82046836,9.80631862,10.16418075
Sf3b3,9.562161135,9.643391828,9.736014664,9.124122025,8.988576095,9.166912005
Tsr2,8.110178888,7.986252497,8.071946428,7.49382862,7.39430721,7.617773567
Rnmt,6.737134026,6.744846248,6.743806886,6.339413505,5.977336485,6.245793507
Klhdc10,8.275183807,8.280185471,8.21042675,7.72013736,7.667094273,7.711962112
Arhgap35,9.089893032,9.233425964,9.215076701,8.531212247,8.611960929,8.727556342
Ube2o,7.653977943,7.587437829,7.621764741,7.005589217,6.953990054,7.235145985
AI842136,7.78907397,7.976007466,7.9269356,7.302620415,7.309915791,7.410029782
Zmym1,7.787583479,7.51546288,7.854271194,7.230920086,7.141607113,7.114978679
Rev3l,9.134454248,8.933720094,9.072504693,8.441373398,8.488953348,8.538148877
Kctd20,8.624706386,8.420719562,8.369213192,7.986321242,7.854441014,7.901126892
Mrps23,7.566476149,7.615369287,7.526913003,6.860398575,7.066819468,7.108210324
Pkd1l3,5.351712205,5.227590525,5.553000539,4.741995258,4.978108482,4.737916896
Exoc5,8.489068618,8.326531277,8.409402913,7.899034778,7.799219148,7.851773282
1110008P14Rik,7.747796593,7.93370771,7.96120504,7.237728967,7.252323896,7.475305281
Cdk4,10.27181168,10.20569169,10.43923885,9.771134172,9.67495459,9.793282431
Ttc39a,8.419285215,8.684017741,8.319872374,7.91741528,7.897110609,7.93112848
Ppp1r8,7.893477624,7.739937606,8.108891776,7.422088634,7.320531731,7.318952496
Cct7,9.181904695,9.174726783,9.068917168,8.477466833,8.605974963,8.66125591
Tmed8,7.499737814,7.574913662,7.326944749,6.821750429,6.987659274,6.910703294
Gm19691,5.503717965,5.63381391,5.570205017,4.727038916,5.183161532,5.113912455
Zfp800,8.535918852,8.478902771,8.493595139,7.9440018,7.899181185,7.978516174
Gm16740,6.053885391,6.195534517,6.400949977,5.35842757,5.739491345,5.864662671
Sap30,7.151936268,7.175562481,7.241487775,6.599760202,6.709485636,6.57151281
Zfp518b,5.878723363,5.565652497,5.773434377,5.162088474,5.280247281,5.086650638
Reps1,9.644397928,9.60051164,9.557899328,9.101025223,8.924246197,9.083774984
Slc41a3,6.49627911,6.451732891,6.597644496,5.885549808,5.985188699,5.980430533
Gpr173,4.89204955,4.986881759,5.317861957,4.581272195,4.40361366,4.516181323
Fxr1,9.61006,9.493481967,9.602444741,8.8887211,8.949256535,9.17206757
Stau2,7.509527086,7.31377,7.39995077,6.754116198,6.952080892,6.820266938
Nanos1,6.972059069,7.031970491,7.177947238,6.43652065,6.584464169,6.463492489
Lmo2,7.413492824,7.313189481,7.166434953,6.797791794,6.630934511,6.766811556
Gm17733,5.464488447,5.339774621,5.327783469,4.726500958,4.836307415,4.869638449
Klhl42,7.217030467,7.138744738,7.358241531,6.666657547,6.663655988,6.683971379
