Feature Name,1,2,3,4,5
CCT6A,1.0,,,,
CCT7,1.0,,,,
CCT8,,1.0,1.0,,
CCZ1,1.0,,,,
CD101,,,,1.0,
CD109,1.0,,,,
CD151,1.0,,,,
CD160,,1.0,,,
CD163,,-1.0,,,
CD164,1.0,,,1.0,
CD19,,1.0,,,
CD200,,,,,1.0
CD207,,,1.0,,
CD248,,,1.0,,
CD274,,,,1.0,
CD276,1.0,,,,
CD2AP,,1.0,,1.0,
CD2BP2,,,,,1.0
CD302,,,,1.0,
CD37,1.0,,,,
CD3E,,1.0,,,
CD4,,,1.0,,
CD40,1.0,,,,
CD44,1.0,,,,
CD46,,1.0,,1.0,
CD5,,,1.0,,
CD53,,1.0,,,
CD58,1.0,,,,
CD59,,,,1.0,
CD6,,,,1.0,
CD63,,,,1.0,
CD68,1.0,,,,
CD70,1.0,1.0,,,
CD74,,,,1.0,
CD79B,,1.0,,,
CD81,,1.0,,,
CD82,,,,1.0,
CD84,,,1.0,,
CD86,,1.0,,,
CD9,1.0,1.0,,,
CD99,1.0,,,,
CD99L2,,,,1.0,
CDA,,1.0,,,
CDAN1,1.0,1.0,1.0,,
CDC123,1.0,,,,
CDC14A,1.0,,,,
CDC20,1.0,,,,
CDC20B,,,1.0,,
CDC23,1.0,,,,
CDC25C,1.0,,,,
CDC26,1.0,,,1.0,
CDC27,,1.0,,,
CDC37,1.0,,,,
CDC40,,1.0,,,
CDC42BPB,1.0,,1.0,,
CDC42BPG,,1.0,,1.0,
CDC42EP1,1.0,1.0,,,
CDC42EP2,1.0,1.0,,,
CDC42EP4,,1.0,,,
CDC42EP5,1.0,,,,
CDC42SE1,1.0,,,,
CDC42SE2,,,,,1.0
CDC45,,,1.0,,
CDC6,,1.0,,,
CDC73,,1.0,,,
CDCA3,1.0,,,,
CDCA4,,,,,1.0
CDCA5,,,,,1.0
CDCA7,,,1.0,,
CDCA8,,,,1.0,
CDCP1,,1.0,,1.0,
CDH1,,,,1.0,
CDH11,,,1.0,,
CDH12,,,1.0,,
CDH15,,,1.0,,
CDH18,,,1.0,,
CDH23,,,1.0,,
CDH26,,,,1.0,
CDH5,,,1.0,,
CDH7,,,1.0,,
CDHR3,,,1.0,,
CDIP1,,,1.0,,
CDK11A,1.0,,,,
CDK11B,1.0,,,,
CDK12,,1.0,,,
CDK14,,1.0,,,
CDK17,,,1.0,,
CDK19,,,,,1.0
CDK5RAP2,,,,1.0,
CDK6,1.0,1.0,,,
CDK7,1.0,,,,
CDKAL1,,,1.0,,
CDKL1,1.0,,1.0,,
CDKN2AIP,,,,,1.0
CDKN2D,,,,1.0,
CDON,,,,1.0,
CDR2L,1.0,,1.0,,
CDRT4,,1.0,,,
CDS1,,1.0,,,
CDV3,,1.0,,,
CDX2,,1.0,,,
CEACAM19,,1.0,,,
CEACAM5,,,,1.0,
CEACAM7,,,,1.0,
CEBPA,1.0,,,,
CEBPB,1.0,,,,
CEBPD,,,,1.0,
CEBPZ,,1.0,,,
CELF1,,,,,1.0
CELF2,,1.0,,,
CELF3,,,1.0,,
CELF5,,,,,1.0
CELSR1,1.0,,,,
CELSR2,,,1.0,,
CEND1,,,,,1.0
CENPB,,,,1.0,
CENPC,,,,1.0,
CENPH,,,,,1.0
CENPM,,,,,1.0
CENPN,1.0,,,,
CENPO,1.0,,,,
CENPV,,,,,1.0
CENPW,,,,1.0,
CEP128,,,1.0,,
CEP135,,1.0,,,
CEP152,,,1.0,,
CEP164,1.0,,,,
CEP170,,,,,1.0
CEP19,,,,,1.0
CEP350,,1.0,,,
CEP55,1.0,,,,
CEP76,,,,,1.0
CEP78,,,,,1.0
CEP97,,,,,1.0
CER1,,,,1.0,
CERCAM,1.0,,,,
CERKL,,,1.0,,
CERS1,,,1.0,,
CERS2,1.0,,,,
CERS6,,1.0,,,1.0
CES4A,1.0,,,,
CES5A,,,1.0,,
CETN2,,,,,1.0
CFB,1.0,,,,
CFD,1.0,,,,
CFH,1.0,,,,
CFL1,1.0,,,,
CFL2,,,1.0,,
CFLAR,1.0,,,,
CFP,,,,,1.0
CGB7,1.0,,,,
CGN,,1.0,,,
CGNL1,,,,1.0,
CGREF1,,1.0,1.0,,
CH25H,1.0,,,,
CHAC2,,,1.0,,
CHAD,,1.0,,,
CHAF1A,,,1.0,,
CHAF1B,,,1.0,,
CHAT,,1.0,,,
CHCHD1,,1.0,,,
CHCHD10,,,1.0,,
CHCHD4,1.0,1.0,,,
CHCHD6,,,1.0,,
CHD1,1.0,,,,
CHD1L,1.0,1.0,,,
CHD2,,1.0,,,
CHD5,,,1.0,,
CHD8,,,1.0,1.0,
CHD9,,,1.0,,
CHDH,,1.0,,1.0,
CHEK2,,1.0,,,
CHERP,,,1.0,,
CHGB,,,1.0,,
CHI3L1,1.0,,,,
CHIA,,,,1.0,
CHIC1,1.0,,,,
CHIC2,,,,1.0,
CHID1,,,,1.0,
CHMP2B,,1.0,,,
CHMP4A,,1.0,,1.0,
CHMP4B,,,,1.0,
CHMP4C,,,,1.0,
CHORDC1,,1.0,,,
CHP1,1.0,,,,
CHPF,,,,1.0,
CHPF2,1.0,,,,
CHPT1,1.0,1.0,,,
CHRAC1,,,,1.0,
CHRD,,,,1.0,
CHRDL1,,1.0,,,
CHRFAM7A,,,1.0,,
CHRM4,,,,,1.0
CHRNA1,,,1.0,,
CHRNA10,,1.0,,,
CHRNA3,,,1.0,,
CHRNA4,,,1.0,,
CHRNA7,,,1.0,,
CHST1,,,,1.0,
CHST12,1.0,,,,
CHST14,1.0,,,,
CHST15,1.0,,,,
CHST2,1.0,,,,
CHST3,1.0,1.0,1.0,,
CHST6,1.0,1.0,,,
CHST8,,,1.0,,
CHSY1,1.0,,,,1.0
CHSY3,1.0,1.0,,,
CIB1,1.0,,,,
CIC,1.0,,,,
CIDEA,,,1.0,,
CIITA,,,,1.0,
CINP,,,1.0,,
CISD3,,1.0,,1.0,
CISH,,,1.0,,
CITED1,,,1.0,,
CIZ1,,,1.0,,
CKAP2L,,,,,1.0
CKAP4,1.0,,,,
CKB,,,1.0,,
CKMT1A,,,1.0,,
CKMT1B,,,1.0,,
CLASP2,,,1.0,,
CLCA4,,,,,1.0
CLCC1,,,1.0,,
CLCF1,1.0,1.0,,,
CLCN2,,1.0,,,
CLCN3,,1.0,,,
CLCN5,,,1.0,,
CLCN6,,,1.0,,
CLDN1,1.0,,,,
CLDN10,,1.0,,,
CLDN12,,,,1.0,
CLDN14,,1.0,,,
CLDN16,1.0,,,,
CLDN18,,,,1.0,
CLDN19,,1.0,,,
CLDN23,1.0,1.0,,,
CLDN3,,,,1.0,
CLDN4,,,,1.0,
CLDN9,,,,,1.0
CLEC11A,1.0,,1.0,,
CLEC16A,,,,1.0,
CLEC17A,,1.0,,,
CLEC2B,1.0,,,,
CLEC4A,,1.0,,,
CLEC7A,,1.0,,,
CLECL1,1.0,,,,
CLIC1,1.0,,,,
CLIC3,1.0,,,,
CLIC5,,1.0,,,
CLIC6,,,,1.0,
CLINT1,1.0,,,,
CLIP1,1.0,,,,
CLIP4,1.0,,,,
CLK3,,,1.0,,
CLK4,1.0,,,,
CLLU1OS,,,,1.0,
CLMN,,1.0,,,
CLMP,,,1.0,,
CLN5,1.0,,,,
CLN6,,,1.0,,
CLNK,,,,1.0,
CLNS1A,,,1.0,,
CLP1,,1.0,,,
CLPP,,,1.0,,
CLPTM1,1.0,,,,
CLPX,1.0,1.0,1.0,,
CLRN3,,1.0,,,
CLSPN,,,,,1.0
CLSTN2,,,1.0,,
CLTA,1.0,,,,
CLTB,1.0,,1.0,,
CLTC,1.0,1.0,,,
CLU,1.0,,,,
CLUH,,1.0,1.0,,
CLVS1,,,1.0,,
CLVS2,,,1.0,,
CMIP,,,,,1.0
CMPK1,,,,1.0,
CMPK2,,,,,1.0
CMSS1,,,1.0,,
CMTM1,1.0,,,,
CMTM3,1.0,,,,
CMTM5,,,1.0,,
CMTM6,1.0,1.0,,1.0,
CMTM7,,1.0,,,
CMTR1,,,1.0,,
CNBP,,,1.0,,
CNGB3,,1.0,,1.0,
CNIH3,,1.0,,,
CNIH4,1.0,,1.0,,
CNKSR1,,1.0,,1.0,
CNKSR3,,,,1.0,
CNN2,1.0,1.0,,,
CNN3,,,,,1.0
CNNM1,,,1.0,,
CNNM4,,1.0,,,
CNOT6L,,,,1.0,
CNP,,1.0,,,
CNPY4,,,,1.0,
CNST,,,,1.0,
CNTD1,,1.0,,,
CNTD2,,,,1.0,
CNTF,,,,1.0,
CNTFR,,,1.0,,
CNTN1,,,1.0,,
CNTN2,,,1.0,,
CNTN6,,1.0,,,
CNTNAP1,1.0,,1.0,,
CNTNAP2,,,,1.0,
CNTNAP3,,1.0,,1.0,
CNTNAP3B,,,,1.0,
CNTRL,,,,1.0,
COA6,1.0,1.0,,,
COBL,,,,1.0,
COG2,,1.0,,,
COG5,,1.0,,,
COG7,1.0,,,,
COL12A1,1.0,,,,
COL13A1,,,1.0,,
COL14A1,,1.0,,,
COL15A1,,,-1.0,,
COL18A1,1.0,,,,
COL1A1,1.0,,,,
COL22A1,,,,1.0,
COL25A1,,1.0,,,
COL27A1,1.0,1.0,1.0,,
COL2A1,,1.0,,,1.0
COL3A1,1.0,1.0,,,
COL4A1,1.0,,,,
COL4A2,1.0,,,,
COL5A1,1.0,,1.0,,
COL5A2,1.0,,,,
COL5A3,1.0,,,,
COL6A1,1.0,,,,
COL6A2,1.0,,,,
COL7A1,1.0,,,,
COL8A1,1.0,,,,
COL8A2,,,1.0,,
COL9A1,,,,1.0,
COL9A3,,1.0,,,
COLCA2,,1.0,,,
COLEC10,,,,1.0,
COLEC11,,,,1.0,
COLGALT1,1.0,,,,
COLGALT2,,1.0,1.0,,
COLQ,,1.0,,,
COMMD1,1.0,,,,
COMMD4,1.0,,,,
COMMD7,,,,1.0,
COMMD8,1.0,1.0,,,
COMT,,,1.0,,
COMTD1,,,,1.0,
COPB1,1.0,,,,
COPE,,,1.0,,
COPS2,1.0,,1.0,,
COPS3,,,1.0,,
COQ10B,1.0,,,1.0,
COQ2,1.0,,,,
COQ3,,1.0,1.0,,
CORIN,,1.0,,,
CORO1B,1.0,,,,
CORO2A,,,,1.0,
CORO2B,,,1.0,,1.0
COTL1,,,,1.0,
COX10,,,1.0,,
COX11,,,1.0,,
COX16,,,1.0,,
COX19,1.0,,1.0,,
COX20,1.0,,,,
COX4I1,,,1.0,,
COX4I2,,,1.0,,
COX5A,,,1.0,,
COX6C,,,,1.0,
COX7A2,,,,1.0,
CP,1.0,,,,
CPA3,,,,-1.0,
CPAMD8,1.0,,,,
CPB1,,1.0,,,
CPD,,,,1.0,
CPE,,,1.0,,
CPEB1,,,1.0,,
CPEB3,,,,1.0,
CPLX2,,,1.0,,
CPLX3,,,1.0,,
CPM,,,,1.0,
CPNE1,1.0,,,,
CPNE2,1.0,,,,
CPNE7,1.0,,1.0,,
CPNE8,1.0,,,,
CPO,,,1.0,,
CPSF1,,1.0,,,
CPSF2,,,1.0,,
CPSF4L,,1.0,,,
CPSF6,,1.0,,,
CPSF7,,,,,1.0
CPT1A,1.0,1.0,,,
CPT1C,,,,,1.0
CPVL,,1.0,,,
CPZ,1.0,,,,
CR1L,,,,1.0,
CR2,,1.0,,,
CRABP1,,,1.0,,
CRAT,1.0,,,,
CREB3L2,1.0,,,,
CREB3L3,,,1.0,,
CREB3L4,,,,,1.0
CREBL2,,,,1.0,
CREG1,1.0,1.0,,,
CRELD1,,1.0,,,
CREM,1.0,,,,
CRHR1,,,1.0,,
CRHR2,,,1.0,,
CRIM1,1.0,1.0,,,
CRIP3,,,,,1.0
CRIPT,,,,,1.0
CRISP2,,,,1.0,
CRISP3,,,,1.0,
CRISPLD1,,1.0,,,
CRISPLD2,,,,,1.0
CRLF1,1.0,,1.0,,
CROT,1.0,,,,
CRTAC1,,,1.0,,
CRTAP,1.0,,1.0,,
CRTC1,,,,1.0,
CRTC2,1.0,,,,
CRTC3,1.0,,1.0,,
CRYBB1,,,,,1.0
CRYBG3,,,1.0,,
CRYM,,1.0,,1.0,
CRYZ,1.0,,,,
CRYZL1,1.0,,1.0,,
CS,,1.0,,,
CSAD,1.0,,,,
CSDE1,1.0,1.0,1.0,,
CSE1L,,1.0,1.0,,
CSF1,1.0,,,,
CSF2RA,1.0,,,,
CSF3R,,1.0,,,
CSGALNACT1,1.0,,,,
CSGALNACT2,1.0,,,,
CSH2,,1.0,,,
CSK,1.0,1.0,,,
CSNK1A1,1.0,,,,
CSNK1D,1.0,,,,
CSNK1E,,,1.0,,1.0
CSNK2A1,,,1.0,,
CSNK2A3,,,1.0,,
CSPG4,1.0,,,,
CSPP1,1.0,,,,
CSRNP1,1.0,,,,
CSRNP2,,,,,1.0
CSRP1,,,,1.0,
CSRP2,,,,,1.0
CST4,,,,1.0,
CSTA,1.0,,,,
CSTB,1.0,,,,
CSTF1,,1.0,,,
CSTF2T,,,,1.0,
CT45A1,1.0,,,,
CT45A2,1.0,,,,
CT45A3,1.0,,,,
CT45A5,1.0,,,,
CT45A6,1.0,,,,
CTAG1A,,1.0,,,
CTAG1B,,1.0,,,
CTAGE15,,1.0,,,
CTAGE8,,1.0,,,
CTAGE9,,1.0,,,
CTBP2,1.0,1.0,,,
CTBS,1.0,,,,
CTCF,,,,,1.0
CTCFL,1.0,-1.0,,,
CTDSP1,1.0,,,,
CTDSP2,,,,1.0,
CTDSPL,1.0,,,,
CTNNA1,1.0,,,,
CTNNB1,1.0,,,,
CTNNBL1,,,1.0,,
CTNND1,,1.0,,,
CTNND2,,,1.0,,
CTR9,,1.0,,,
CTSA,1.0,,,,
CTSB,1.0,,,,
CTSC,,1.0,,,
CTSD,1.0,,,1.0,
CTSH,,1.0,,,
CTSK,1.0,,,,
CTSL,1.0,,,,
CTSO,1.0,,,1.0,
CTSS,,,,1.0,
CTSV,1.0,,,,
CTSZ,1.0,1.0,,,
CTTN,1.0,1.0,,,
CTTNBP2NL,,,,,1.0
CTU1,,,1.0,,
CTU2,,,1.0,,
CUBN,1.0,1.0,,,
CUEDC1,,,,1.0,
CUL1,,1.0,1.0,,
CUL2,1.0,1.0,,,
CUL3,,1.0,,,
CUL4A,,1.0,,,
CUL5,,1.0,,,
CUL7,1.0,,,,
CUTC,1.0,1.0,,,
CUX2,,,1.0,,
CWC15,,1.0,,,
CWC22,,,,1.0,
CWC27,1.0,,,,
CX3CL1,,1.0,,,
CXADR,,,,,1.0
CXCL10,1.0,,,,
CXCL12,,,1.0,,
CXCL13,,,,1.0,
CXCL16,1.0,,,,
CXCR5,,,,,1.0
CXXC4,,,,1.0,
CXXC5,,,1.0,,
CYB561,,,,1.0,
CYB561A3,1.0,,,,
CYB561D1,,,,1.0,
CYB5R1,,,,1.0,
CYB5RL,,,,1.0,
CYBA,,,,1.0,
CYBB,,1.0,,,
CYBRD1,1.0,,,,
CYC1,,1.0,,,
CYCS,,1.0,,,
CYFIP1,1.0,1.0,,,
CYFIP2,,,,,1.0
CYGB,1.0,,,,
CYP1A1,,,,1.0,
CYP1B1,1.0,,,,
CYP20A1,,,,,1.0
CYP24A1,,,1.0,,
CYP2R1,,1.0,,1.0,
CYP2S1,1.0,,,,
CYP2W1,,,1.0,,
CYP39A1,,1.0,,,
CYP3A5,,1.0,,,
CYP3A7,,1.0,,,
CYP4B1,,,,1.0,
CYP4F11,1.0,,,1.0,
CYP4F12,,,,1.0,
CYP4F2,,,,1.0,
CYP4F22,1.0,,,,
CYP4F3,,,,1.0,
CYP4V2,,,,1.0,
CYP4X1,,,,,1.0
CYP7B1,,,1.0,,
CYS1,1.0,,,,
CYTH3,1.0,,,,
D2HGDH,1.0,1.0,,,
DAB1,,1.0,,,
DAB2,,1.0,,,
DACH1,,,1.0,,
DACT2,,,,1.0,
DACT3,,,1.0,,
DAD1,,,1.0,,
DAG1,1.0,,,,
DAGLA,,,1.0,,
DAGLB,1.0,1.0,1.0,,
DALRD3,1.0,,,,
DAND5,,,1.0,,
DAP3,1.0,1.0,,,
DAPK1,,1.0,,,
DAPK2,,,,1.0,
DAPK3,1.0,,,,
DAPL1,,,,1.0,
DAZAP1,,,1.0,,
DAZAP2,,,,1.0,
DBF4B,1.0,1.0,,,
DBH,,,,1.0,1.0
DBI,,,1.0,,
DBN1,1.0,,1.0,,
DBNDD1,,,,,1.0
DBNDD2,,1.0,,1.0,
DBP,,,1.0,,
DCAF11,,,,1.0,
DCAF4,,,1.0,,
DCAF6,1.0,,,,
DCAF8,1.0,,,,
DCBLD1,1.0,,,,
DCBLD2,1.0,,,,
DCHS1,,,,,1.0
DCHS2,,1.0,,,
DCLK2,,,,,1.0
DCLK3,,,1.0,,
DCLRE1A,,1.0,,,
DCLRE1B,,,1.0,,
DCP2,,1.0,,,
DCPS,,1.0,,,
DCT,,,1.0,,
DCTD,1.0,,,,
DCTN1,1.0,,,,
DCTN2,,,1.0,,
DCTN3,,,,,1.0
DCTN4,,,,,1.0
DCUN1D4,1.0,,,,
DCUN1D5,1.0,1.0,,,
DCX,,,,,1.0
DCXR,,,1.0,,
DDAH2,1.0,,,,
DDB1,,1.0,1.0,,
DDI2,,,,1.0,
DDN,,,1.0,,
DDO,,,,1.0,
DDOST,1.0,,,,
DDR1,,,,1.0,
DDX1,,,1.0,,
DDX10,,1.0,1.0,,
DDX20,1.0,,1.0,,
DDX21,1.0,,,,
DDX23,,1.0,,,
DDX24,,,1.0,,
DDX27,1.0,1.0,,,
DDX31,,,1.0,,
DDX3X,,1.0,,,
DDX41,1.0,,,,
DDX42,,1.0,,,
DDX47,1.0,1.0,,,
DDX49,,,1.0,,
DDX52,,1.0,,,
DDX54,1.0,,,,
DDX55,,,1.0,,
DDX56,1.0,,1.0,,
DDX58,,1.0,,,
DDX59,,1.0,,,
DDX6,,1.0,,,1.0
DDX60,1.0,,,1.0,
DECR1,1.0,,,,
DECR2,1.0,,,,
DEF8,,,1.0,,
DEK,,,,,1.0
DENND1B,,1.0,,,
DENND1C,,,,1.0,
DENND2A,,,,,1.0
DENND2C,1.0,1.0,1.0,,
DENND2D,,,,1.0,
DENND3,,,1.0,,
DENND5A,1.0,,,,
DENR,,1.0,,,
DEPDC1B,,,,,1.0
DEPDC5,,,1.0,,
DERL2,1.0,,,,
DESI1,,,1.0,,
DESI2,,,,,1.0
DFFA,1.0,,,,
DGCR2,,,,1.0,
DGCR6,,,1.0,1.0,
DGCR8,,,,,1.0
DGKA,1.0,1.0,,,
DGKI,,,,,1.0
DGKQ,1.0,1.0,,,
DHCR24,,,,1.0,
DHCR7,,1.0,,,
DHDDS,1.0,,,,
DHODH,1.0,,,,
DHRS11,,1.0,,,
DHRS2,,1.0,1.0,,
DHRS4,1.0,,1.0,,
DHRS4L2,,,1.0,,
DHX15,,1.0,,,
DHX16,1.0,,,,
DHX29,,,1.0,,
DHX30,1.0,,,,
DHX32,1.0,,,,
DHX33,,1.0,1.0,,
DHX36,,1.0,,,
DHX37,1.0,,,,
DHX38,1.0,,,,
DHX57,1.0,,,,
DHX9,,1.0,,,
DIAPH1,1.0,,,,
DIAPH2,,,1.0,,
DICER1,,1.0,,,
DIMT1,1.0,,,,
DIO2,1.0,,,,
DIP2A,,1.0,,,
DIP2B,,1.0,,,
DIP2C,,,,,1.0
DIRAS1,,,1.0,,
DIRAS2,,,,1.0,
DISP2,,,1.0,,
DIXDC1,,1.0,,,
DKC1,,,1.0,,
DKK1,1.0,,,,
DKKL1,1.0,,,,
DLAT,,1.0,,,
DLC1,1.0,1.0,,,
DLG2,,1.0,,,
DLG3,,,,,1.0
DLG4,,,1.0,,
DLGAP2,,1.0,,,1.0
DLL1,,,,1.0,
DLL3,,,,,1.0
DLL4,,,,1.0,1.0
DLST,,,1.0,,
DLX1,,,,,1.0
DLX3,,,1.0,,
DLX4,1.0,,1.0,,
DMAP1,,,,1.0,
DMBX1,1.0,,,,
DMKN,1.0,,,,
DMRT2,,,,,1.0
DMRT3,,1.0,,1.0,
DMRTA2,,,,,1.0
DMRTB1,,1.0,1.0,,
DMTN,,,,,1.0
DMXL2,,,1.0,,
DNA2,,1.0,,,
DNAH10,1.0,,,,
DNAH10OS,,,,,1.0
DNAH14,,1.0,,,
DNAH17,,,1.0,,
DNAH3,,,,1.0,
DNAH5,,,,1.0,
DNAJB13,,,,1.0,
DNAJB14,1.0,,,,
DNAJB4,1.0,,,,
DNAJB5,,,,,1.0
DNAJB7,,,1.0,,
DNAJC1,1.0,,,,
DNAJC10,,,,1.0,
DNAJC11,1.0,,1.0,,
DNAJC12,,,,1.0,
DNAJC13,1.0,,,,
DNAJC14,,,,,1.0
DNAJC15,,1.0,,,
DNAJC17,1.0,1.0,1.0,,
DNAJC18,,,1.0,,1.0
DNAJC2,1.0,,,,
DNAJC24,,,1.0,,
DNAJC25,1.0,,,,
DNAJC6,,,1.0,,
DNAJC7,,1.0,,,
DNAJC8,1.0,,,,
DNAL4,,,,,1.0
DNALI1,,,,1.0,
DNASE1L1,,,,,1.0
DNASE1L2,,,,1.0,
DNASE2,1.0,,,1.0,
DNER,,,,,1.0
DNM1,,,1.0,,
DNMBP,,1.0,,,
DNMT1,,,1.0,,
DNMT3A,,,,,1.0
DNPEP,1.0,,,,
DNPH1,1.0,1.0,,,
DNTTIP1,,,,,1.0
DOC2A,,,1.0,,
DOCK1,1.0,,,,
DOCK5,1.0,,,,
DOCK6,1.0,1.0,,,
DOCK7,1.0,,1.0,,
DOCK8,,1.0,,1.0,
DOCK9,,,,1.0,
DOK4,,,1.0,,1.0
DOK5,,,1.0,,
DOK7,,,,1.0,
DOLK,1.0,,,,
DOLPP1,,,,,1.0
DONSON,,,,,1.0
DPAGT1,,1.0,,,
DPCD,1.0,,,,
DPF1,,,1.0,,1.0
DPF3,,,1.0,,
DPH1,,,1.0,,
DPH2,,,,1.0,
DPH5,,,1.0,,
DPH6,,1.0,,,
DPM1,1.0,,,,
DPP10,,,,1.0,
DPP8,1.0,,,,
DPP9,1.0,,,,
DPPA2,1.0,,,,
DPY19L1,1.0,1.0,,,
DPY19L4,,,,1.0,
DPYSL2,,,,,1.0
DPYSL5,,,,,1.0
DRAM1,1.0,,,,
DRAP1,1.0,,,,
DRAXIN,,,,,1.0
DRC1,,,,1.0,
DRG1,,,1.0,,
DROSHA,,,1.0,,
DSC2,,1.0,,,
DSC3,,1.0,,,
DSCAM,,,,,1.0
DSCAML1,,,,,1.0
DSE,1.0,,,,
DSG1,,1.0,,,
DSG2,,1.0,,,
DST,1.0,,,,
DSTYK,1.0,,,,
DTD1,,,,,1.0
DTD2,,,1.0,,
DTWD1,,1.0,,,
DTX2,1.0,,,,
DTX3L,,,,1.0,
DTX4,,1.0,,,
DTYMK,,,,,1.0
DUS2,,,1.0,,
DUS3L,,,1.0,,
DUS4L,,1.0,,,
DUSP10,,,,1.0,
DUSP11,1.0,,,,
DUSP12,1.0,,,,
DUSP14,,1.0,1.0,,
DUSP26,,,1.0,,
DUSP28,,,,1.0,
DUSP3,1.0,,,,
DUSP6,1.0,,,,
DUSP7,,,1.0,,
DUSP9,,1.0,1.0,,
DUT,,,1.0,,
DYDC1,,,,1.0,
DYDC2,,,,1.0,
DYNC1H1,,,1.0,,
DYNC1I2,,,,,1.0
DYNC2H1,1.0,,,,
DYNLL1,1.0,,,,
DYNLRB2,,,,1.0,
DYNLT1,,,,1.0,
DYNLT3,,,,,1.0
DYRK1A,,,,,1.0
DYRK2,,,,1.0,
DYRK3,,,,,1.0
DYRK4,1.0,1.0,,,
DYSF,1.0,,,,
DZIP1,,,1.0,,
DZIP1L,1.0,,1.0,,
E2F1,,,1.0,,
E2F2,,,,,1.0
E2F3,,1.0,,,
E2F7,,,,,1.0
EAPP,,,,1.0,
EARS2,,,1.0,,
EBF1,,,,,1.0
EBI3,1.0,,,,
EBLN2,1.0,,,,
EBNA1BP2,1.0,,,,
EBPL,,,1.0,,
ECD,1.0,,,,
ECE1,,,,1.0,
ECH1,1.0,,,,
ECHDC1,,1.0,,,
ECHDC2,,,,1.0,
ECHDC3,,,1.0,,
ECHS1,1.0,,,,
ECI2,1.0,1.0,,,
ECM1,,,,1.0,
ECSIT,,,1.0,,
EDA,,,1.0,,
EDC4,1.0,,,,
EDEM1,1.0,1.0,,,
EDEM2,1.0,,,,
EDEM3,,1.0,,,
EDIL3,,,1.0,,
EDN1,1.0,1.0,,,
EDN2,,,1.0,,
EDNRA,1.0,,,,
EEF1A1,1.0,1.0,,,
EEF1A2,,,1.0,,
EEF1D,1.0,1.0,,,
EEF1G,,,1.0,,
EEF2,,,1.0,,
EEF2K,,1.0,1.0,,
EEFSEC,,,1.0,,
EEPD1,,,1.0,,
EFCAB14,,,,1.0,
EFCAB2,,,,,1.0
EFCC1,,,,1.0,
EFEMP1,1.0,,,,
EFEMP2,1.0,,,,
EFHD2,,,,1.0,
EFNA1,,1.0,,,
EFNA2,,,,,1.0
EFNA4,1.0,1.0,,,
EFNB2,,,1.0,,
EFR3A,1.0,1.0,,,
EFR3B,,,,1.0,
EFS,,,1.0,,
EFTUD2,,1.0,1.0,,
EGFL7,1.0,,,,
EGFL8,1.0,,,,
EGFR,1.0,,,,
EGLN3,,1.0,,1.0,
EGR1,1.0,,,,
EGR4,,,,1.0,
EHBP1,,1.0,,,
EHBP1L1,1.0,,,,
EHD1,1.0,,1.0,,
EHD2,1.0,,1.0,,
EHD3,1.0,,,,
EHD4,1.0,,,,
EHF,,1.0,,,
EHMT2,,1.0,,,
EI24,,,,1.0,
EID1,,,,,1.0
EID3,1.0,,,,
EIF1AX,,1.0,,,
EIF2A,,1.0,,,
EIF2AK1,,,,1.0,
EIF2AK2,1.0,,,,
EIF2AK4,1.0,1.0,1.0,,
EIF2B2,,,1.0,,
EIF2B3,,,1.0,,
EIF2B4,1.0,,1.0,,
EIF2B5,,,1.0,,
EIF2S1,,1.0,1.0,,
EIF2S2,1.0,,,,
EIF2S3,1.0,,,,
EIF3A,1.0,1.0,,,
EIF3B,1.0,1.0,1.0,,
EIF3C,1.0,,1.0,,
EIF3CL,,,1.0,,
EIF3D,1.0,,1.0,,
EIF3G,1.0,,1.0,,
EIF3I,1.0,,1.0,,
EIF3J,1.0,1.0,1.0,,
EIF3K,,,1.0,,
EIF3L,,,1.0,,
EIF3M,,1.0,1.0,,
EIF4A1,1.0,1.0,1.0,,
EIF4E,1.0,1.0,,,
EIF4E1B,,,1.0,,
EIF4E2,1.0,,,,
EIF4E3,,,,1.0,
EIF4G1,1.0,,,,
EIF4G3,1.0,,,,
EIF4H,1.0,,,,
EIF5,,1.0,1.0,,
EIF5A,1.0,1.0,1.0,,
EIF5AL1,1.0,1.0,,,
EIF5B,1.0,1.0,,,
EIF6,,1.0,,,
ELAC2,,1.0,1.0,,
ELANE,1.0,,,,
ELAVL1,,1.0,,,
ELAVL2,,,1.0,,
ELAVL3,,,,,1.0
ELAVL4,,,,,1.0
ELF1,1.0,1.0,,1.0,
ELF2,,,,1.0,
ELF3,,,,1.0,
ELF4,,,,1.0,
ELFN1,1.0,,,,
ELFN2,,,1.0,,
ELK3,1.0,,,,
ELL,1.0,,,,
ELL2,1.0,,,,
ELMO3,,1.0,,1.0,
ELMOD1,,1.0,1.0,,
ELMOD3,1.0,,,,
ELMSAN1,,1.0,,,
ELN,,,1.0,,
ELOVL1,1.0,,,1.0,
ELOVL2,,,,,1.0
ELOVL3,,1.0,,,
ELOVL6,,1.0,,,
ELP4,,,1.0,,
EMC1,1.0,,,,
EMC10,,,,1.0,
EMC2,,,,1.0,
EMC3,1.0,,,,
EMD,,,,,1.0
EMID1,,,1.0,,
EMILIN1,,1.0,1.0,,
EML1,,,1.0,,
EML3,1.0,1.0,,,
EML6,,,1.0,,
EMP1,1.0,,,,
EMP2,,,,1.0,
EMP3,1.0,,,,
