Feature Name,1,2,3,4,5
AIMP1,,1.0,,,
AJAP1,,,,,1.0
AJUBA,1.0,1.0,,,
AK4,,1.0,1.0,,
AK9,,,,1.0,
AKAP12,1.0,,,,
AKAP2,,,,1.0,
AKAP5,,,,,1.0
AKAP7,1.0,,,,
AKAP8,1.0,,,,
AKAP8L,,,1.0,,
AKAP9,,,,,1.0
AKIP1,,,,1.0,
AKIRIN1,,,,1.0,
AKR1A1,,,,1.0,
AKR1B1,,,1.0,,
AKR1B10,,,1.0,,
AKR1C4,,1.0,,,
AKR1E2,1.0,,,,
AKR7A3,,,,1.0,
AKT1S1,1.0,,,,
AKT3,,,,,1.0
ALDH18A1,1.0,1.0,1.0,,
ALDH1A3,1.0,,,,
ALDH1L2,,,1.0,,
ALDH2,,1.0,,,
ALDH3A1,,1.0,,,
ALDH3A2,,,1.0,,
ALDH3B1,1.0,,,,
ALDH3B2,,1.0,,,
ALDH4A1,1.0,,,,
ALDH5A1,,,,1.0,
ALDH7A1,1.0,,,,
ALG1,1.0,,,,
ALG2,,,,1.0,
ALG6,,,,1.0,
ALG8,,1.0,,,
ALKBH1,,,1.0,,
ALKBH2,,1.0,,,
ALKBH5,,1.0,,,
ALKBH8,1.0,1.0,,,
ALLC,,,,1.0,
ALOX12B,,1.0,,,
ALOX5,,1.0,,,
ALOXE3,1.0,1.0,,,
ALPK2,1.0,,,,
ALPL,,,1.0,,
ALS2CL,1.0,,,,
ALS2CR12,,,,,1.0
ALX3,,,,,1.0
ALX4,,,,1.0,
AMACR,,,,1.0,
AMD1,,1.0,,,
AMDHD1,1.0,,,,
AMDHD2,1.0,,,,
AMER1,,,1.0,,
AMER3,,,,,1.0
AMIGO1,,,1.0,,
AMIGO2,,,,1.0,
AMIGO3,1.0,,,,
AMMECR1,,1.0,,,
AMMECR1L,,1.0,,,
AMN,,1.0,1.0,,
AMOTL1,,,,,1.0
AMOTL2,1.0,,,,
AMPD2,1.0,,1.0,,
AMPD3,,,,1.0,
ANAPC1,,,1.0,,
ANAPC15,,1.0,,,
ANAPC16,,,,1.0,
ANG,1.0,,,,
ANGEL1,,,1.0,,
ANGPT2,,,,,1.0
ANGPTL2,,,1.0,,
ANGPTL4,1.0,,,,
ANK3,,1.0,1.0,,
ANKAR,1.0,,,,
ANKDD1A,,,1.0,,
ANKDD1B,,,,1.0,
ANKEF1,,,,,1.0
ANKH,,,1.0,,
ANKRD10,,,,1.0,
ANKRD13B,,,1.0,,
ANKRD13C,1.0,,,,
ANKRD16,1.0,,,,
ANKRD17,,1.0,,,
ANKRD2,1.0,,1.0,,
ANKRD22,,1.0,,1.0,
ANKRD23,,,,1.0,
ANKRD28,1.0,1.0,,,
ANKRD29,1.0,,,,
ANKRD30B,,1.0,1.0,,
ANKRD33B,1.0,1.0,1.0,,
ANKRD34A,1.0,,,,
ANKRD34C,,,1.0,,
ANKRD36C,,,,,1.0
ANKRD39,,1.0,,,
ANKRD42,1.0,,,,
ANKRD52,1.0,,,,
ANKRD53,,,,,1.0
ANKRD6,,,,1.0,
ANKRD61,1.0,,,,
ANKRD63,,,1.0,,
ANKS1B,,,1.0,,
ANKS4B,,1.0,,,
ANKS6,,,1.0,,
ANKUB1,,,,1.0,
ANLN,1.0,1.0,,,
ANO1,,,,,1.0
ANO10,1.0,1.0,,,
ANO6,1.0,1.0,,,
ANO7,,1.0,,1.0,
ANO9,,,,1.0,
ANP32A,,1.0,1.0,,
ANP32E,,1.0,,,
ANPEP,1.0,,,,
ANTXR1,1.0,,,,
ANXA1,1.0,1.0,,,
ANXA11,1.0,,,,
ANXA2,1.0,,,,
ANXA3,,1.0,,,
ANXA4,1.0,1.0,,,
ANXA5,1.0,,,,
ANXA6,1.0,,1.0,,
ANXA8,1.0,1.0,,,
ANXA8L1,1.0,,,,
AOC1,,,,1.0,
AOX1,1.0,,,,
AP1B1,,,1.0,,
AP1G2,,,,1.0,
AP1M1,,,1.0,,
AP2A2,,1.0,,,
AP2B1,1.0,,,,
AP2M1,1.0,,,,
AP3B1,1.0,,,,
AP3B2,,,1.0,,1.0
AP3S1,1.0,,,,
AP4B1,,,1.0,,
AP4E1,1.0,,,,1.0
AP4M1,,,,,1.0
AP5B1,1.0,,,,
AP5Z1,1.0,,,,
APBA2,,1.0,1.0,,
APBB1,,,,,1.0
