	c.COLO668	c.CORL24	c.CORL279	c.CORL311	c.CORL47	c.CORL88	c.CORL95	c.DMS114	c.DMS153	c.DMS273	c.DMS454	c.DMS53	c.DMS79	c.HCC33	c.NCIH1048	c.NCIH1092	c.NCIH1105	c.NCIH1184	c.NCIH1339	c.NCIH1341	c.NCIH1436	c.NCIH146	c.NCIH1618	c.NCIH1694	c.NCIH1836	c.NCIH1876	c.NCIH1930	c.NCIH196	c.NCIH1963	c.NCIH2029	c.NCIH2066	c.NCIH2081	c.NCIH209	c.NCIH211	c.NCIH2171	c.NCIH2196	c.NCIH2227	c.NCIH2286	c.NCIH446	c.NCIH510	c.NCIH524	c.NCIH526	c.NCIH69	c.NCIH82	c.NCIH841	c.NCIH889	c.SBC5	c.SCLC21H	c.SHP77	c.SW1271	m.DMS153	m.HCC2433	m.HCC33	m.HCC4000	m.HCC4001	m.HCC4002	m.HCC4003	m.HCC4004	m.HCC4005	m.HCC970	m.NCIH1048	m.NCIH1092	m.NCIH1184	m.NCIH1238	m.NCIH128	m.NCIH1339	m.NCIH1417	m.NCIH1436	m.NCIH1450	m.NCIH146	m.NCIH1514	m.NCIH1522	m.NCIH1607	m.NCIH1628	m.NCIH1672	m.NCIH1688	m.NCIH1694	m.NCIH1836	m.NCIH187	m.NCIH1870	m.NCIH1876	m.NCIH1882	m.NCIH1926	m.NCIH1930	m.NCIH1963	m.NCIH1994	m.NCIH2029	m.NCIH2081	m.NCIH209	m.NCIH2107	m.NCIH2108	m.NCIH211	m.NCIH2141	m.NCIH2171	m.NCIH2195	m.NCIH2196	m.NCIH2198	m.NCIH2227	m.NCIH250	m.NCIH2679	m.NCIH3282	m.NCIH345	m.NCIH378	m.NCIH446	m.NCIH510	m.NCIH524	m.NCIH526	m.NCIH60	m.NCIH69	m.NCIH711	m.NCIH735	m.NCIH738	m.NCIH740	m.NCIH748	m.NCIH774	m.NCIH82	m.NCIH841	m.NCIH865	m.NCIH889	m.SHP77
SCLC-Y	-219.71161348721	-222.904408862585	-222.164941932048	-221.129704734548	-230.207672121228	-218.362725544988	-218.713483981787	-143.506319572044	-215.435178414785	-177.494538803619	-218.951891921856	-201.356353301595	-216.072453624351	-231.127418796628	-160.99899700226	-233.494296764224	-221.823779434482	-203.744884067778	-129.333514317619	-174.541664345919	-219.97810546868	-234.437324188489	-207.038490221847	-215.711945413849	-223.82935997109	-198.900223816623	-208.228346655674	-141.782879950755	-229.455268428932	-223.040874584807	-184.457403780951	-221.957017299095	-218.366518068584	-198.557446141744	-215.255150685401	-185.764591440647	-205.035314569332	-122.034899208607	-195.748095965885	-204.875135343163	-209.883325250997	-207.470590619127	-236.833497971849	-203.768132085915	-129.561390508681	-225.75010350662	-145.433444258997	-221.95382716385	-202.340100845747	-122.334496712807	-211.68639975449	-216.340536090419	-220.986627570773	-224.328469272922	-216.995774180511	-206.616758367608	-202.662977364272	-208.015932196642	-214.770638587323	-213.264914508661	-162.542939606609	-221.811337271785	-194.583503388624	-205.94320835452	-217.111957869662	-197.054308138704	-221.845703532635	-213.24853488428	-183.693340094617	-223.895376139312	-207.608594035941	-215.942473604885	-163.750089040355	-212.872947915044	-221.417181254976	-201.533766610943	-204.304573574757	-219.09840046954	-217.144903482318	-210.422926263975	-213.902637787581	-195.685060740653	-217.315675693208	-197.613053794835	-223.000071669225	-212.115831222698	-217.589664254328	-218.472258525462	-210.622363195608	-220.630823861861	-221.060325498441	-178.639522174359	-205.188675057141	-213.531906302016	-155.82808632134	-181.813282403923	-173.233801847404	-204.599294435098	-213.741295176474	-211.147998986264	-218.429257550098	-205.552868395235	-216.577745183229	-196.815611570812	-193.176491848922	-201.823225605148	-200.056827710617	-194.619427798117	-224.231594290091	-222.799532005404	-198.314167742064	-223.321816399239	-221.663343726019	-216.340568671671	-209.753335314852	-178.272570596471	-133.735308359329	-218.759174586799	-227.591516558068	-196.512271675612
SCLC-P	-163.151578758456	-194.007225418833	-182.309983749831	-129.052133885569	-176.544479445711	-156.177499087998	-186.824103324779	-166.348367803513	-179.163990604887	-148.821714855761	-164.420441077878	-160.013221094419	-195.253939779317	-163.18269303472	-134.221786053768	-180.960972922252	-179.206910654517	-168.522823003307	-173.877706061468	-169.016299032048	-169.695520619272	-169.959274201026	-158.085901312445	-188.60967929728	-165.243547953396	-154.909927745222	-163.613317224343	-204.60880380716	-168.684238827139	-176.416141703261	-153.792635162734	-163.375239766189	-153.568263159556	-107.833081663018	-167.198288063266	-200.957921995811	-194.539083829459	-172.867223489702	-181.57690052419	-156.849380963838	-159.203254141427	-120.786394843744	-187.824955457302	-148.038919543539	-162.124696353221	-171.714000598063	-168.450070834479	-172.205010504008	-169.158036016994	-172.439230761685	-164.886173423705	-177.682540536529	-147.942326474505	-157.763205811094	-169.905942283635	-180.978940015435	-161.732186678194	-180.850073872244	-155.707977592273	-184.65370617403	-122.521451830707	-175.747405502957	-175.622430360708	-172.574410932373	-167.79721807528	-165.106286237288	-168.208623094549	-157.451099403654	-126.412386896764	-165.889457546552	-159.806007030377	-148.985527885818	-139.693044280302	-179.761513947046	-173.406534398174	-159.097801836671	-175.915999899132	-156.674479190673	-156.655961824347	-160.448901157954	-146.940950630103	-147.479971934029	-154.474767760085	-168.110120871249	-153.342327655771	-160.739261417967	-167.266393157387	-158.364204339826	-154.298772651051	-164.524469776933	-176.724692620415	-108.867794676124	-155.84795084337	-157.412549783154	-181.334145059473	-191.268153422947	-191.486975873334	-186.5423496867	-165.688147543381	-122.540573469085	-187.243578260269	-169.554377944708	-174.877595644953	-175.096156611689	-144.306124660316	-157.449617553281	-112.065961501799	-158.449109196923	-180.34799855153	-176.162202375067	-159.039558096273	-160.448875915057	-173.259381928633	-156.609610105143	-169.595372237671	-145.130066405102	-153.785497389731	-172.318074250677	-172.539896042128	-170.907721772616
SCLC-N	-190.111823822694	-147.30778400337	-134.033402491633	-156.731679072278	-139.077497497533	-176.522408307471	-179.065776601717	-167.870445737696	-183.092208286462	-116.965126822173	-200.210257705189	-203.225613427748	-166.032134431465	-135.583523701071	-177.014305506322	-133.839392701907	-154.887146858895	-132.511981784744	-201.173412456309	-154.544885294149	-153.735726373729	-162.455535891842	-157.792491025721	-102.355263843699	-169.569405788493	-164.56641731173	-142.982664447918	-218.141649352173	-133.583212247019	-192.913832436662	-172.523578582286	-140.690406648101	-154.638824569275	-182.784768295844	-102.651640109238	-184.034270105617	-133.317649270499	-196.796865928308	-119.028370325841	-171.481288914516	-98.340962804405	-159.01735893978	-152.425467558175	-127.929576651371	-170.604550550935	-152.138875880943	-178.199309850212	-116.052643135904	-163.957558167133	-200.779180614037	-165.96534506914	-100.019284162906	-131.02928093484	-147.57719471893	-91.2142601786769	-131.555105490245	-145.897925589682	-138.684195852762	-118.48819449072	-98.4765482258345	-162.370762723727	-130.506206005053	-146.198787375242	-169.611064460548	-146.302343441071	-168.659675431094	-140.819115277268	-145.140473615385	-186.702458157222	-148.889142717839	-139.007719271604	-133.987043427788	-185.878932543054	-163.382505140573	-147.984529123548	-202.721232958158	-100.3313166025	-150.868526179755	-147.760454985812	-124.536504124404	-149.891405742168	-163.404420012375	-136.553866096012	-149.514593289033	-126.841894500614	-166.218725722894	-157.908864941713	-151.35994440005	-157.510309270244	-129.030302814667	-141.512002092948	-168.50189584146	-146.046915710328	-107.965445651305	-177.407546005092	-172.408180557209	-164.744090619074	-125.931826603104	-155.31047180557	-155.521199290827	-143.558444933274	-141.4156671978	-101.727948835436	-113.301165580397	-155.41520969465	-95.3028417256527	-146.971413941121	-96.8358215485435	-132.344657656507	-141.393924242381	-175.253273833637	-148.837072281539	-144.059798735977	-152.880168636642	-179.176754736448	-152.4642322602	-164.982511996258	-155.138403508404	-147.775717383869	-160.243838580435
SCLC-A2	-108.962737590948	-179.723459863101	-139.243882091295	-170.742740533333	-132.215444805855	-107.883322748073	-105.473865240128	-197.162702785596	-101.923495513607	-175.813633305687	-120.490176317196	-123.813378021262	-159.132290649207	-173.95780298785	-173.883226654104	-133.977047295916	-151.296091981337	-170.589287214805	-198.392605663449	-178.412860427068	-136.898345790328	-141.111759338173	-137.978630783731	-186.883491753932	-125.320034558391	-160.555939149809	-155.752839677544	-216.080333209268	-159.967205166897	-103.607238483444	-149.085408203065	-120.963845736629	-127.56289729782	-178.387083907735	-172.157354678257	-118.098143000636	-178.318887669314	-196.37709198297	-185.602291463598	-115.06947165376	-180.941449963386	-162.611003993905	-152.541157388443	-189.870940848633	-190.031770130633	-123.51635819343	-194.844602369557	-159.644444482047	-134.515489257863	-197.703671787595	-93.2823328983934	-171.535610350012	-165.550752881277	-110.023906929384	-173.844581749919	-157.634645769192	-120.85854574401	-156.769824771577	-160.745107989127	-179.971035150357	-162.204145984003	-133.986332604902	-168.111853113258	-101.101440421616	-126.052980628479	-142.319939264059	-132.831536524949	-133.86530655564	-162.360597790724	-128.311413857195	-144.887120730232	-145.998803405635	-170.545894228858	-107.484879317064	-128.068120322225	-120.914793603653	-174.234571221823	-124.552279041585	-132.878035151417	-146.331489657094	-159.137089376326	-155.913029548369	-152.215607464577	-140.211174079587	-158.127224869223	-110.286293947912	-105.961801610563	-122.891816839659	-118.703480452813	-124.534814386196	-137.440212260203	-157.5592984392	-137.921487653258	-168.160242462329	-123.514185189099	-113.760514538577	-117.585384246764	-169.502428380648	-118.553900776634	-163.645685189732	-135.300316128008	-127.245480336456	-156.030343817284	-182.861353622214	-122.263201092695	-174.752043616357	-155.058645960992	-174.678013728897	-146.616746378355	-153.942303752435	-108.90491963174	-154.28881474245	-132.593101429035	-122.87427537054	-103.160870072849	-181.332541657647	-184.115992026174	-110.047582307714	-115.848872710243	-123.807852935399
SCLC-A	-168.018819808978	-145.958027339994	-142.255941994142	-162.306829237999	-122.241732466651	-127.925740200169	-145.065096137738	-184.054164537751	-131.092082437402	-170.72111627538	-189.820271455814	-187.841215318755	-124.165114565197	-120.492124191946	-163.485915271254	-103.887038452067	-95.3167960675111	-105.60493241106	-216.70307514177	-176.332192104307	-100.322167053766	-137.174249681937	-93.708319367393	-148.328524190958	-124.773026331255	-103.295258730641	-122.759319379184	-223.981942292859	-90.8065660871925	-154.447356287126	-177.722195241025	-125.889085373581	-102.415418679307	-181.426942126299	-135.621914387577	-149.557345886059	-140.084914205041	-212.431042735123	-171.050131008555	-143.696693154515	-154.193481792193	-154.094978651479	-146.986936558129	-174.64339499439	-186.008540289383	-131.654494999395	-201.213695642562	-143.524456595033	-176.748524154808	-211.501952362842	-115.36318925174	-123.223049311628	-113.115081572123	-118.731824189796	-136.086131622797	-105.793268631591	-98.4111832517986	-107.368465743783	-127.084115097163	-132.886263355253	-144.932034439324	-96.807348856342	-118.636828089127	-140.665467160142	-87.2898504357675	-121.364529616987	-97.681226258174	-98.1618878878028	-170.716074996947	-121.043583363115	-90.1940071029803	-81.2880505789	-158.052843435471	-119.674673559655	-83.8549431237244	-187.045358593757	-145.264699844905	-103.634158823708	-114.246265644511	-110.011245516125	-93.5720065157943	-105.427379245899	-77.636463994169	-118.541942144036	-94.3122966959282	-133.218030607268	-115.820883146094	-126.881553821518	-110.729172287146	-85.9158904064278	-76.3383670226223	-160.673271876577	-99.3542856659441	-140.293558518482	-147.527440130073	-135.849632001691	-138.346626563224	-128.778356508302	-126.973335098569	-168.094631635612	-100.557983836468	-104.659203347521	-115.714985382996	-155.155711261448	-127.18521155975	-149.328303353255	-143.942856180502	-158.376485719342	-125.002768506709	-86.7012442164322	-140.662498653973	-96.6732573093506	-97.8868777967822	-113.945081330254	-137.205228152309	-182.73380775344	-172.668873893295	-118.345958529655	-131.181901928217	-169.577730017196
